시군구,주택유형,연면적(m2),대지면적(m2),계약일,거래금액(만원),건축년도,도로명
 서울특별시 강남구 대치동,다가구,158.26,105.3,21~31,"88,000",2002,삼성로69길
 서울특별시 강남구 대치동,단독,143.77,277.4,11~20,"310,000",1977,도곡로63길
 서울특별시 강남구 삼성동,단독,151.14,175.3,21~31,"127,000",1975,삼성로107길
 서울특별시 강남구 삼성동,단독,249.9,188.1,21~31,"129,000",1990,봉은사로74길
 서울특별시 강남구 삼성동,단독,211.62,199.3,21~31,"163,500",1994,삼성로119길
 서울특별시 강남구 삼성동,단독,409.2,206.2,21~31,"190,000",1996,선릉로108길
 서울특별시 강남구 역삼동,다가구,249.54,186.2,11~20,"93,000",1989,논현로66길
 서울특별시 강남구 역삼동,단독,202.6,167.2,11~20,"95,000",1983,역삼로11길
 서울특별시 강동구 길동,단독,119.16,80.3,21~31,"31,000",1984,천호대로185길
 서울특별시 강동구 길동,단독,132.1,129.8,21~31,"55,000",1980,
 서울특별시 강동구 둔촌동,다가구,382.09,177.2,21~31,"95,700",2001,양재대로100길
 서울특별시 강동구 둔촌동,단독,212.85,142,11~20,"58,000",1989,진황도로
 서울특별시 강동구 둔촌동,단독,164.33,166,11~20,"78,500",1982,명일로
 서울특별시 강동구 둔촌동,단독,311.29,179.7,11~20,"80,000",1991,명일로
 서울특별시 강동구 둔촌동,단독,106.48,395.4,11~20,"148,000",1975,
 서울특별시 강동구 명일동,단독,256.92,164.6,11~20,"75,000",1992,상암로47길
 서울특별시 강동구 성내동,다가구,346.71,173.5,1~10,"148,000",2010,천호대로170길
 서울특별시 강동구 성내동,단독,54.95,75,11~20,"62,500",1984,
 서울특별시 강동구 성내동,단독,128.54,106,21~31,"32,600",1976,천호대로168나길
 서울특별시 강동구 성내동,단독,160.89,108,1~10,"29,000",1989,천호대로168길
 서울특별시 강동구 성내동,단독,160.89,108,1~10,"45,500",1989,천호대로168길
 서울특별시 강동구 성내동,단독,173.64,112,11~20,"61,000",1990,성내로
 서울특별시 강동구 성내동,단독,183.06,132,1~10,"60,000",1989,천호옛14길
 서울특별시 강동구 성내동,단독,210.93,139,21~31,"55,000",1988,풍성로39길
 서울특별시 강동구 암사동,단독,203.91,132.6,1~10,"82,000",1986,상암로6길
 서울특별시 강동구 암사동,단독,227.07,149,1~10,"57,000",1984,
 서울특별시 강동구 암사동,단독,249.37,176.8,1~10,"96,100",1986,상암로6길
 서울특별시 강동구 천호동,다가구,126.18,97,1~10,"31,400",1985,구천면로42길
 서울특별시 강동구 천호동,다가구,456.45,145,21~31,"85,000",1989,상암로
 서울특별시 강동구 천호동,다가구,360,216,1~10,"83,000",1985,상암로27길
 서울특별시 강동구 천호동,다가구,345.51,217,21~31,"75,000",1993,
 서울특별시 강동구 천호동,단독,190.46,119,21~31,"41,000",1989,상암로
 서울특별시 강동구 천호동,단독,164.7,169.8,11~20,"80,000",1980,천중로
 서울특별시 강북구 미아동,단독,39.67,57.9,21~31,"14,000",1969,도봉로57길
 서울특별시 강북구 미아동,단독,173.25,114,21~31,"40,000",1988,오현로7길
 서울특별시 강북구 미아동,단독,92.03,117.4,1~10,"41,800",1970,도봉로45길
 서울특별시 강북구 미아동,단독,119.78,120.7,1~10,"35,800",1977,도봉로46길
 서울특별시 강북구 미아동,단독,255.4,142,11~20,"51,000",1991,솔샘로35길
 서울특별시 강북구 미아동,단독,130.24,170.6,1~10,"59,500",1985,솔매로
 서울특별시 강북구 미아동,단독,231.4,221,21~31,"79,000",1971,솔매로41길
 서울특별시 강북구 번동,다가구,297.69,168.9,1~10,"64,000",1995,도봉로96가길
 서울특별시 강북구 번동,단독,147.42,80.9,1~10,"19,200",1992,한천로124다길
 서울특별시 강북구 번동,단독,247.2,170.9,1~10,"61,800",1984,한천로123가길
