시군구,주택유형,연면적(m2),대지면적(m2),계약일,거래금액(만원),건축년도,도로명
 서울특별시 강남구 논현동,다가구,483.36,272.8,21~31,"200,000",1992,봉은사로1길
 서울특별시 강남구 논현동,다가구,658.45,287.6,21~31,"250,000",1995,학동로20길
 서울특별시 강남구 삼성동,다가구,384.72,203.5,11~20,"175,000",1961,봉은사로69길
 서울특별시 강남구 삼성동,단독,220.73,214.6,1~10,"105,000",1978,봉은사로68길
 서울특별시 강남구 삼성동,단독,252.91,249.2,11~20,"220,000",1985,영동대로129길
 서울특별시 강남구 삼성동,단독,303.83,269.5,1~10,"232,000",1982,봉은사로67길
 서울특별시 강남구 세곡동,단독,136.58,425,1~10,"180,000",1985,헌릉로571길
 서울특별시 강남구 신사동,단독,141.9,96.2,11~20,"85,000",1986,도산대로23길
 서울특별시 강남구 역삼동,다가구,435.8,241.1,1~10,"210,000",1996,강남대로84길
 서울특별시 강남구 역삼동,단독,329,559.3,1~10,"435,000",1984,테헤란로13길
 서울특별시 강남구 자곡동,단독,98.81,440,11~20,"230,000",1979,밤고개로14길
 서울특별시 강남구 청담동,다가구,410.24,200.1,21~31,"228,000",1991,선릉로146길
 서울특별시 강동구 고덕동,단독,274.95,188.4,1~10,"78,000",1987,아리수로72길
 서울특별시 강동구 고덕동,단독,430.56,215.4,1~10,"97,000",1988,동남로85길
 서울특별시 강동구 길동,단독,158.71,168.8,21~31,"72,000",1982,천중로42길
 서울특별시 강동구 길동,단독,192.36,177.1,11~20,"100,000",1983,양재대로116길
 서울특별시 강동구 길동,단독,527.93,181.6,11~20,"128,000",1991,천중로51길
 서울특별시 강동구 길동,단독,401.8,184.5,21~31,"111,600",1989,
 서울특별시 강동구 둔촌동,다가구,244.8,161.4,21~31,"60,500",1991,천호대로188길
 서울특별시 강동구 둔촌동,다가구,221.93,169,21~31,"79,000",1982,진황도로61길
 서울특별시 강동구 명일동,단독,42.21,27.78,1~10,"9,000",1986,양재대로136길
 서울특별시 강동구 명일동,단독,211.5,142,1~10,"75,000",1989,양재대로141길
 서울특별시 강동구 성내동,단독,148.86,99,11~20,"44,700",1987,천호대로168나길
 서울특별시 강동구 성내동,단독,122.87,117.05,11~20,"66,000",1982,양재대로91나길
 서울특별시 강동구 성내동,단독,196.72,129.2,11~20,"70,000",1985,강동대로55길
 서울특별시 강동구 성내동,단독,209.62,133.6,21~31,"72,000",1990,풍성로57길
 서울특별시 강동구 성내동,단독,161.73,134.4,21~31,"72,370",1983,풍성로42길
 서울특별시 강동구 성내동,단독,247.23,169,11~20,"80,000",1988,천호대로168라길
 서울특별시 강동구 성내동,단독,366.44,231.7,1~10,"118,500",1983,성안로3길
 서울특별시 강동구 암사동,다가구,346.02,168.3,1~10,"89,000",2002,상암로15길
 서울특별시 강동구 암사동,다가구,299.82,231.5,21~31,"90,000",1996,올림픽로98길
 서울특별시 강동구 암사동,단독,197.1,132.3,1~10,"53,000",1988,상암로15길
 서울특별시 강동구 암사동,단독,215.01,142.5,21~31,"61,600",1988,고덕로20나길
 서울특별시 강동구 암사동,단독,247.05,167.7,1~10,"60,000",1987,올림픽로98가길
 서울특별시 강동구 암사동,단독,245.7,170.9,1~10,"60,500",1987,상암로21길
 서울특별시 강동구 암사동,단독,127.71,347,1~10,"82,000",2001,올림픽로112길
 서울특별시 강동구 천호동,다가구,223.93,143,21~31,"55,900",1990,올림픽로71길
 서울특별시 강동구 천호동,다가구,220.16,155,21~31,"70,400",1964,구천면로16길
 서울특별시 강동구 천호동,단독,114.12,96,1~10,"25,500",1977,천중로34길
 서울특별시 강동구 천호동,단독,148.05,99,1~10,"37,000",1986,천중로35길
 서울특별시 강동구 천호동,단독,159.72,105.8,21~31,"43,500",1985,상암로41나길
 서울특별시 강동구 천호동,단독,192.69,129,1~10,"56,200",1990,올림픽로71길
 서울특별시 강동구 천호동,단독,189.56,214.5,11~20,"77,500",1980,
 서울특별시 강동구 천호동,단독,161.65,228.7,21~31,"99,000",1978,천중로
 서울특별시 강북구 미아동,다가구,175.64,73.7,21~31,"31,000",1998,솔매로41길
 서울특별시 강북구 미아동,다가구,188.05,76,11~20,"32,500",1992,
 서울특별시 강북구 미아동,다가구,167.58,93.6,21~31,"36,400",1991,도봉로23길
 서울특별시 강북구 미아동,다가구,195.9,109,1~10,"53,500",1996,도봉로10나길
 서울특별시 강북구 미아동,다가구,182.34,116,11~20,"49,000",1991,도봉로19길
 서울특별시 강북구 미아동,다가구,161.8,122,1~10,"30,000",1973,솔샘로60길
 서울특별시 강북구 미아동,다가구,294.14,128,21~31,"78,000",1996,오현로6길
 서울특별시 강북구 미아동,다가구,295.6,144.5,11~20,"68,000",1993,삼양로74길
 서울특별시 강북구 미아동,다가구,172.78,145,11~20,"52,500",1995,오패산로
 서울특별시 강북구 미아동,단독,46.88,59.8,11~20,"22,000",1968,
 서울특별시 강북구 미아동,단독,34.12,61.8,11~20,"19,300",1967,솔매로39길
 서울특별시 강북구 미아동,단독,37.45,72.4,1~10,"26,500",1968,
 서울특별시 강북구 미아동,단독,68.63,99,1~10,"30,000",1967,솔샘로
 서울특별시 강북구 미아동,단독,262.63,103.5,11~20,"51,645",1994,솔매로45길
 서울특별시 강북구 미아동,단독,87.14,112,11~20,"45,000",1970,월계로7나길
 서울특별시 강북구 번동,다가구,160.85,93.2,11~20,"33,828",1994,한천로122길
 서울특별시 강북구 번동,다가구,199.9,123.6,11~20,"40,250",1994,한천로
 서울특별시 강북구 수유동,다가구,177.63,119,11~20,"41,200",1990,삼양로93길
 서울특별시 강북구 수유동,다가구,193.74,124.9,21~31,"50,200",2002,삼양로
 서울특별시 강북구 수유동,다가구,199.59,126.9,11~20,"56,500",1992,
 서울특별시 강북구 수유동,다가구,204.54,145,11~20,"40,000",1990,삼양로95길
 서울특별시 강북구 수유동,다가구,212.44,307,21~31,"116,000",1980,인수봉로
 서울특별시 강북구 수유동,단독,56.86,66,1~10,"16,000",1970,
 서울특별시 강북구 수유동,단독,43.03,81,1~10,"16,000",1985,인수봉로23가길
 서울특별시 강북구 수유동,단독,103.78,89,21~31,"28,000",1971,삼양로77길
 서울특별시 강북구 수유동,단독,99.11,99,11~20,"11,900",1971,인수봉로51길
 서울특별시 강북구 수유동,단독,77.32,101.2,21~31,"28,000",1970,삼양로
 서울특별시 강북구 수유동,단독,163.24,110,11~20,"39,800",1989,인수봉로58길
 서울특별시 강북구 수유동,단독,53.42,112,1~10,"20,800",1971,인수봉로51길
 서울특별시 강북구 수유동,단독,92.43,121.3,21~31,"26,000",1975,노해로7길
 서울특별시 강북구 수유동,단독,123.6,129,1~10,"37,050",1978,한천로160길
 서울특별시 강북구 수유동,단독,163.47,134,21~31,"47,600",1974,
 서울특별시 강북구 수유동,단독,143.64,141,1~10,"41,500",1983,인수봉로80길
 서울특별시 강북구 수유동,단독,103.51,148,21~31,"52,000",1974,인수봉로60가길
 서울특별시 강북구 수유동,단독,234.73,149,1~10,"54,500",1988,
 서울특별시 강북구 수유동,단독,223.3,155,1~10,"54,000",1989,
 서울특별시 강북구 수유동,단독,151.51,159,1~10,"39,900",1975,삼양로123길
 서울특별시 강북구 수유동,단독,199.08,177.5,11~20,"62,000",1992,수유로12가길
 서울특별시 강북구 수유동,단독,191.95,192,21~31,"70,000",1977,삼양로87가길
 서울특별시 강북구 수유동,단독,166.18,215,1~10,"78,000",1995,
