시군구,주택유형,연면적(m2),대지면적(m2),계약일,거래금액(만원),건축년도,도로명
 서울특별시 강남구 논현동,다가구,492.42,230.8,1~10,"194,000",1997,언주로147길
 서울특별시 강남구 논현동,단독,99.84,107.9,11~20,"58,000",1975,학동로14길
 서울특별시 강남구 도곡동,다가구,914.12,269.7,11~20,"220,000",2000,강남대로48길
 서울특별시 강남구 역삼동,다가구,480.83,211.4,11~20,"198,000",1995,
 서울특별시 강남구 역삼동,단독,203.41,247.5,21~31,"240,000",1978,논현로105길
 서울특별시 강남구 율현동,단독,198,320,1~10,"40,000",2012,밤고개로23길
 서울특별시 강동구 둔촌동,단독,274.65,247.9,11~20,"141,000",1980,
 서울특별시 강동구 둔촌동,단독,176.76,256.9,1~10,"117,780",1982,양재대로100길
 서울특별시 강동구 상일동,단독,276.9,222.3,21~31,"97,000",1985,상암로81길
 서울특별시 강동구 성내동,단독,196.35,199,11~20,"54,000",1983,천호대로162길
 서울특별시 강동구 천호동,단독,57.92,39.78,1~10,"12,500",1983,천중로
 서울특별시 강동구 천호동,단독,32.3,72.4,21~31,"31,500",1974,상암로4길
 서울특별시 강동구 천호동,단독,321.48,241,1~10,"180,800",1970,
 서울특별시 강북구 미아동,다가구,139.5,71,11~20,"20,500",1992,솔샘로64다길
 서울특별시 강북구 미아동,다가구,136.37,78,11~20,"32,500",1992,삼양로20나길
 서울특별시 강북구 미아동,다가구,113.75,78.3,1~10,"24,000",1996,솔매로52길
 서울특별시 강북구 미아동,다가구,119.61,83,1~10,"25,000",1994,오패산로30가길
 서울특별시 강북구 미아동,다가구,196.44,129,11~20,"50,000",1997,오패산로
 서울특별시 강북구 미아동,다가구,302.02,139,1~10,"31,500",1997,인수봉로12길
 서울특별시 강북구 미아동,단독,43.11,56,21~31,"15,000",1985,삼양로60가길
 서울특별시 강북구 미아동,단독,73.45,96.2,21~31,"29,100",1969,
 서울특별시 강북구 미아동,단독,73.45,101.2,21~31,"40,000",1969,
 서울특별시 강북구 미아동,단독,130.84,116,11~20,"48,500",1973,솔샘로60길
 서울특별시 강북구 미아동,단독,216.95,132.2,21~31,"63,000",1975,도봉로57길
 서울특별시 강북구 미아동,단독,297.2,146.4,1~10,"105,000",2010,도봉로51길
 서울특별시 강북구 미아동,단독,164.67,160,21~31,"65,000",1978,오현로6길
 서울특별시 강북구 번동,단독,70.15,106.8,21~31,"33,500",1970,덕릉로41길
 서울특별시 강북구 수유동,다가구,161.94,86,1~10,"30,700",1991,노해로32길
 서울특별시 강북구 수유동,다가구,310.74,149,1~10,"51,750",1995,삼각산로22길
 서울특별시 강북구 수유동,다가구,373.44,159,21~31,"30,000",1997,삼양로139나길
 서울특별시 강북구 수유동,다가구,249.39,195.4,21~31,"65,000",1991,
 서울특별시 강북구 수유동,다가구,506.42,244,1~10,"97,000",1993,노해로23길
 서울특별시 강북구 수유동,단독,30.2,53,11~20,"20,500",1984,삼양로131길
 서울특별시 강북구 수유동,단독,36.99,53,1~10,"11,000",1966,
 서울특별시 강북구 수유동,단독,29.55,66,1~10,"13,000",1968,삼각산로18길
 서울특별시 강북구 수유동,단독,33.72,86,11~20,"15,600",1970,인수봉로40길
 서울특별시 강북구 수유동,단독,191.13,118.2,1~10,"37,890",1985,노해로33길
 서울특별시 강북구 수유동,단독,191.13,118.2,21~31,"37,890",1985,노해로33길
 서울특별시 강북구 수유동,단독,59.87,122.3,1~10,"54,000",1968,한천로143길
 서울특별시 강북구 수유동,단독,84.43,126,21~31,"38,000",1973,인수봉로55길
 서울특별시 강북구 수유동,단독,93.39,132,21~31,"40,000",1973,
 서울특별시 강북구 수유동,단독,215.46,146.2,21~31,"49,200",1989,
 서울특별시 강북구 수유동,단독,350.61,149,21~31,"67,000",1991,인수봉로
 서울특별시 강북구 수유동,단독,158.76,152.5,21~31,"45,540",1983,노해로27길
 서울특별시 강북구 수유동,단독,24.79,155,11~20,"30,000",1961,한천로162길
 서울특별시 강북구 수유동,단독,175.68,160.1,1~10,"50,850",1983,
 서울특별시 강북구 수유동,단독,175.68,160.1,21~31,"50,850",1983,
 서울특별시 강북구 수유동,단독,164.82,165,21~31,"55,000",1980,삼양로79길
 서울특별시 강북구 수유동,단독,185.84,168,11~20,"28,000",1964,4.19로12길
 서울특별시 강북구 수유동,단독,239.19,202,1~10,"65,000",1980,수유로17나길
 서울특별시 강서구 개화동,단독,105.13,211,11~20,"50,000",1980,개화10가길
 서울특별시 강서구 개화동,단독,105.13,211,11~20,"50,000",1980,개화10가길
 서울특별시 강서구 공항동,다가구,166.05,116,21~31,"35,000",1996,공항대로13길
 서울특별시 강서구 공항동,다가구,281.16,171.7,11~20,"69,000",1999,방화대로6다길
 서울특별시 강서구 공항동,단독,66.12,148,11~20,"42,500",1968,남부순환로7길
 서울특별시 강서구 공항동,단독,70.48,154,11~20,"66,300",1973,공항대로
 서울특별시 강서구 공항동,단독,94.55,261,11~20,"175,000",1967,공항대로
 서울특별시 강서구 등촌동,단독,352.16,160.8,1~10,"82,200",1988,화곡로66길
 서울특별시 강서구 등촌동,단독,161.32,181.2,11~20,"66,500",1974,등촌로55길
 서울특별시 강서구 방화동,다가구,166.23,155,11~20,"47,000",2002,초원로14길
 서울특별시 강서구 화곡동,다가구,196.83,134.1,1~10,"27,000",1995,강서로8길
 서울특별시 강서구 화곡동,다가구,278.88,157.9,1~10,"49,500",1997,화곡로19길
 서울특별시 강서구 화곡동,다가구,265.77,160.3,21~31,"75,000",1997,화곡로21길
 서울특별시 강서구 화곡동,단독,78.45,119.3,21~31,"40,000",1974,강서로10길
 서울특별시 강서구 화곡동,단독,65.98,163.9,1~10,"39,500",1972,강서로16길
 서울특별시 강서구 화곡동,단독,246.84,169.5,1~10,"64,500",1990,가로공원로84길
 서울특별시 강서구 화곡동,단독,192.58,170.9,1~10,"82,000",1983,가로공원로84길
 서울특별시 관악구 남현동,단독,408.21,281,11~20,"151,000",1990,승방3가길
 서울특별시 관악구 봉천동,다가구,418.02,188,21~31,"94,000",1996,행운6길
 서울특별시 관악구 봉천동,단독,111.78,79,21~31,"22,500",1996,은천로9길
 서울특별시 관악구 봉천동,단독,39.11,83,1~10,"16,000",1972,청림3라길
 서울특별시 관악구 봉천동,단독,123.9,126,1~10,"47,000",1972,은천로30길
 서울특별시 관악구 봉천동,단독,212.94,133.2,21~31,"53,000",1987,청룡4길
 서울특별시 관악구 봉천동,단독,222.48,160.3,11~20,"72,000",1982,쑥고개로24길
 서울특별시 관악구 봉천동,단독,128.9,165,1~10,"55,000",1971,은천로35다길
 서울특별시 관악구 봉천동,단독,121.66,167.6,21~31,"33,000",1980,봉천로21다길
 서울특별시 관악구 봉천동,단독,156.56,182,21~31,"70,700",1975,은천로37길
 서울특별시 관악구 봉천동,단독,193.6,246.3,1~10,"90,000",2001,남부순환로
 서울특별시 관악구 신림동,다가구,176.88,102,1~10,"21,500",1995,난향12길
 서울특별시 관악구 신림동,단독,63.43,71,1~10,"21,700",1970,난곡로35길
 서울특별시 관악구 신림동,단독,154.59,106,1~10,"20,000",1988,미성1길
 서울특별시 관악구 신림동,단독,159.66,108,1~10,"36,000",1981,복은길
 서울특별시 관악구 신림동,단독,100.06,115,21~31,"27,000",1973,신원로
 서울특별시 관악구 신림동,단독,217.98,139,1~10,"35,000",1988,신림로36길
 서울특별시 관악구 신림동,단독,247,153.1,21~31,"140,000",1988,신림로65길
