시군구,주택유형,연면적(m2),대지면적(m2),계약일,거래금액(만원),건축년도,도로명
 서울특별시 강남구 논현동,다가구,487,228.2,1~10,"150,000",1996,학동로28길
 서울특별시 강남구 논현동,다가구,568.17,257,11~20,"160,000",1997,도산대로50길
 서울특별시 강남구 논현동,다가구,343.26,275.9,21~31,"160,000",1993,학동로18길
 서울특별시 강남구 삼성동,단독,420.86,218.8,21~31,"160,000",1992,삼성로107길
 서울특별시 강남구 역삼동,단독,210.01,222.2,1~10,"170,000",1978,테헤란로53길
 서울특별시 강남구 역삼동,단독,539.28,244.7,21~31,"164,600",1996,논현로79길
 서울특별시 강남구 청담동,단독,154.38,230.4,1~10,"190,000",1973,압구정로79길
 서울특별시 강동구 고덕동,다가구,249.48,182.2,21~31,"84,300",1988,동남로82길
 서울특별시 강동구 고덕동,다가구,247.23,184.4,11~20,"79,600",1989,
 서울특별시 강동구 고덕동,다가구,249.99,187.6,11~20,"81,400",1988,아리수로72길
 서울특별시 강동구 고덕동,단독,331.8,190.7,11~20,"87,600",1986,아리수로74길
 서울특별시 강동구 길동,다가구,318.21,203.1,21~31,"84,000",2001,양재대로112길
 서울특별시 강동구 길동,단독,443.35,208.4,21~31,"102,000",1997,천호대로197길
 서울특별시 강동구 둔촌동,단독,230.94,199,21~31,"60,000",1998,진황도로68길
 서울특별시 강동구 둔촌동,단독,462.16,230.5,11~20,"121,600",1996,양재대로
 서울특별시 강동구 명일동,단독,817.44,231,11~20,"133,000",1997,양재대로147길
 서울특별시 강동구 상일동,단독,245.55,179.8,21~31,"76,500",1986,천호대로219가길
 서울특별시 강동구 상일동,단독,247.32,187.4,21~31,"59,900",1987,
 서울특별시 강동구 성내동,단독,250.92,221.2,1~10,"90,000",1983,풍성로57길
 서울특별시 강동구 천호동,다가구,188.37,126,11~20,"45,500",1989,구천면로60길
 서울특별시 강동구 천호동,단독,119.52,102,11~20,"37,700",1994,양재대로133길
 서울특별시 강북구 미아동,다가구,155.27,96,1~10,"33,300",1990,오현로6길
 서울특별시 강북구 미아동,다가구,164.17,105.8,1~10,"41,800",1994,도봉로34길
 서울특별시 강북구 미아동,단독,276.13,63,21~31,"64,725",2002,
 서울특별시 강북구 미아동,단독,43.8,68,1~10,"14,000",1966,솔매로
 서울특별시 강북구 미아동,단독,240.51,155,21~31,"54,000",1991,삼양로54다길
 서울특별시 강북구 미아동,단독,95.18,198,1~10,"58,200",1972,솔매로22가길
 서울특별시 강북구 번동,단독,85.49,135.5,21~31,"38,500",1974,한천로130길
 서울특별시 강북구 수유동,단독,73.56,119,11~20,"17,000",1970,
 서울특별시 강북구 수유동,단독,218.16,128.9,11~20,"30,000",1991,노해로7길
 서울특별시 강북구 수유동,단독,93.13,129,1~10,"28,000",1973,인수봉로44길
 서울특별시 강북구 수유동,단독,145.59,137.6,1~10,"30,000",1982,노해로33길
 서울특별시 강서구 공항동,다가구,465.58,171,21~31,"83,000",1987,송정로
 서울특별시 강서구 공항동,단독,55.14,132,11~20,"30,000",1964,남부순환로5길
 서울특별시 강서구 방화동,다가구,69.07,28.73,11~20,"10,000",1995,
 서울특별시 강서구 방화동,단독,69.07,28.73,1~10,"9,500",1995,
 서울특별시 강서구 화곡동,다가구,325.44,145.8,1~10,"59,137",1993,초록마을로
 서울특별시 강서구 화곡동,단독,203.89,107.7,11~20,"54,000",1974,곰달래로
 서울특별시 강서구 화곡동,단독,184.4,155,1~10,"35,000",2000,강서로17가길
 서울특별시 강서구 화곡동,단독,287.83,253.8,1~10,"68,000",1999,강서로18나길
 서울특별시 관악구 봉천동,다가구,606.48,254.2,11~20,"131,900",1996,청룡4길
 서울특별시 관악구 봉천동,단독,84.73,109,11~20,"31,500",1974,행운1나길
 서울특별시 관악구 봉천동,단독,109.76,155,1~10,"37,813",1977,
 서울특별시 관악구 봉천동,단독,178.04,188,11~20,"81,000",1973,행운1다길
 서울특별시 관악구 신림동,다가구,311.25,152.4,1~10,"58,000",1997,난곡로63가길
 서울특별시 관악구 신림동,단독,42.98,76,21~31,"30,000",1969,양지13길
 서울특별시 관악구 신림동,단독,256.91,116,11~20,"38,300",1993,법원단지5길
 서울특별시 관악구 신림동,단독,195.72,132.6,1~10,"25,500",1990,관천로19길
 서울특별시 관악구 신림동,단독,247.41,205,11~20,"35,000",1990,난우10길
 서울특별시 광진구 능동,다가구,314.17,211.2,11~20,"75,000",1975,능동로32길
 서울특별시 광진구 자양동,단독,150.48,127,21~31,"49,000",1977,뚝섬로48길
 서울특별시 광진구 중곡동,다가구,145.1,89.6,21~31,"32,000",2001,동일로78길
 서울특별시 광진구 중곡동,다가구,156.94,104.5,21~31,"26,000",1991,동일로78길
 서울특별시 광진구 중곡동,다가구,174.91,109.1,1~10,"39,000",1989,용마산로1길
 서울특별시 광진구 중곡동,단독,164.72,103.1,11~20,"29,250",1990,긴고랑로38길
 서울특별시 광진구 중곡동,단독,28.93,122,21~31,"8,500",1971,용마산로28다길
 서울특별시 광진구 화양동,다가구,247.84,123.6,1~10,"72,500",1990,동일로
 서울특별시 구로구 개봉동,다가구,199.74,116,11~20,"36,500",1994,개봉로1다길
 서울특별시 구로구 개봉동,다가구,272.64,133.5,11~20,"41,500",2007,개봉로15길
 서울특별시 구로구 개봉동,단독,82.31,165,11~20,"41,000",1976,고척로52마길
 서울특별시 구로구 개봉동,단독,164.29,184.2,21~31,"42,900",1981,경인로35길
 서울특별시 구로구 구로동,다가구,54,20.38,11~20,"13,900",1993,구로동로20길
 서울특별시 구로구 구로동,단독,85.92,66,11~20,"30,000",2003,구로동로17길
 서울특별시 구로구 구로동,단독,85.92,66,1~10,"30,000",2003,구로동로17길
 서울특별시 구로구 구로동,단독,124.2,83,21~31,"20,000",1989,구로중앙로21길
 서울특별시 구로구 구로동,단독,177.78,112.5,21~31,"35,000",1986,구로중앙로28길
 서울특별시 구로구 구로동,단독,307.35,205,11~20,"86,700",1989,가마산로20라길
 서울특별시 구로구 궁동,단독,28.76,69,1~10,"21,000",1969,부일로15나길
 서울특별시 금천구 가산동,단독,58.48,99,21~31,"39,000",1973,가산디지털2로
 서울특별시 금천구 가산동,단독,99.51,99,21~31,"30,500",1974,서부샛길
 서울특별시 금천구 독산동,다가구,224.82,150.7,11~20,"40,000",1986,시흥대로136길
 서울특별시 금천구 독산동,다가구,203.67,215.9,21~31,"45,700",1900,시흥대로148길
 서울특별시 금천구 독산동,단독,200.24,137.4,11~20,"42,000",1989,시흥대로148길
 서울특별시 금천구 독산동,단독,234.3,137.5,11~20,"33,000",1993,독산로70길
 서울특별시 금천구 독산동,단독,248.13,187.3,11~20,"42,000",1989,시흥대로148길
 서울특별시 금천구 시흥동,단독,229.08,165.3,21~31,"51,000",1982,독산로18길
 서울특별시 금천구 시흥동,단독,329.88,221,21~31,"57,800",1991,독산로50마길
 서울특별시 노원구 상계동,단독,244,171,11~20,"66,200",1983,한글비석로47길
 서울특별시 노원구 월계동,다가구,196.44,122,21~31,"44,000",1992,석계로13길
 서울특별시 노원구 하계동,단독,95.01,96,1~10,"21,200",1980,
 서울특별시 도봉구 도봉동,다가구,132.66,131.5,11~20,"44,800",1983,도봉로181나길
 서울특별시 도봉구 쌍문동,다가구,355.63,165,21~31,"61,500",2008,우이천로
 서울특별시 도봉구 창동,다가구,167.31,97.9,11~20,"26,000",1991,덕릉로59차길
 서울특별시 동대문구 이문동,단독,16.5,13,1~10,"4,000",1980,
 서울특별시 동대문구 이문동,단독,47.27,89,11~20,"35,000",1960,이문로
 서울특별시 동대문구 전농동,단독,49.72,43,1~10,"6,000",1980,전농로38다길
 서울특별시 동대문구 전농동,단독,29.75,60,21~31,"22,600",1943,서울시립대로
 서울특별시 동대문구 전농동,단독,62.67,63,21~31,"25,600",1968,서울시립대로
 서울특별시 동대문구 전농동,단독,142.74,116,21~31,"28,000",1974,한천로43길
 서울특별시 동대문구 제기동,단독,21.36,36.7,1~10,"22,000",1983,경동시장로
 서울특별시 동대문구 제기동,단독,25.76,60,1~10,"9,500",1985,고산자로
 서울특별시 동대문구 제기동,단독,49.59,70,1~10,"22,500",1980,약령시로
 서울특별시 동대문구 제기동,단독,44.46,84.4,21~31,"26,000",1960,약령시로
 서울특별시 동대문구 청량리동,단독,94.27,66,21~31,"24,900",1960,제기로23길
 서울특별시 동작구 대방동,단독,142.61,131.6,21~31,"60,000",1975,대방동15다길
 서울특별시 동작구 사당동,다가구,631.67,344,11~20,"145,400",1997,사당로10가길
 서울특별시 동작구 사당동,단독,191.16,126,11~20,"35,840",1991,사당로2가길
 서울특별시 동작구 사당동,단독,423.89,212,1~10,"100,000",1997,사당로16길
 서울특별시 동작구 신대방동,단독,56.23,116,1~10,"36,000",1972,
 서울특별시 동작구 신대방동,단독,170.34,116,1~10,"33,500",1995,여의대방로24자길
 서울특별시 동작구 신대방동,단독,69.62,136,1~10,"35,500",1972,
 서울특별시 동작구 신대방동,단독,105.13,162,1~10,"73,000",1971,
 서울특별시 동작구 신대방동,단독,264.72,205,11~20,"82,000",1984,여의대방로24길
 서울특별시 마포구 대흥동,단독,45.72,90.2,1~10,"32,000",1958,고산17길
 서울특별시 마포구 상수동,단독,299.36,168,21~31,"100,000",2003,토정로
 서울특별시 마포구 아현동,단독,55.62,51.6,1~10,"40,000",1999,
 서울특별시 마포구 염리동,단독,23.14,60,1~10,"18,500",1970,백범로21안길
 서울특별시 마포구 용강동,단독,247.05,258,21~31,"137,000",1986,대흥로4길
 서울특별시 마포구 창전동,단독,146.64,152,21~31,"69,000",1975,서강로5길
 서울특별시 마포구 합정동,단독,105.12,217,11~20,"79,200",1966,토정로
 서울특별시 서대문구 남가좌동,단독,1.55,1.53,11~20,502,1971,
 서울특별시 서대문구 남가좌동,단독,1.55,1.53,11~20,502,1971,
 서울특별시 서대문구 남가좌동,단독,2.32,2.29,11~20,753,1971,
 서울특별시 서대문구 남가좌동,단독,8.54,8.4,1~10,"2,761",1971,
 서울특별시 서대문구 남가좌동,단독,181.69,106,11~20,"74,582",1969,
 서울특별시 서대문구 남가좌동,단독,258.22,142,11~20,"87,002",1970,
 서울특별시 서대문구 남가좌동,단독,108.33,159,21~31,"77,000",1973,가재울로
 서울특별시 서대문구 북가좌동,단독,49.25,73,11~20,"16,000",1969,
 서울특별시 서대문구 북가좌동,단독,56.9,96,21~31,"27,600",1961,
 서울특별시 서대문구 북가좌동,단독,439.2,184.9,21~31,"111,767",1992,
 서울특별시 서대문구 북아현동,단독,147.64,91.6,1~10,"30,000",1991,
 서울특별시 서대문구 연희동,단독,252.5,205,11~20,"71,000",1997,연희로10가길
 서울특별시 서대문구 연희동,단독,185.2,233,21~31,"83,500",1979,연희로28길
 서울특별시 서대문구 연희동,단독,177.85,320.64,11~20,"108,900",1979,성산로
 서울특별시 서대문구 연희동,단독,223.06,414.5,21~31,"60,000",1974,연희로26다길
 서울특별시 서대문구 옥천동,단독,139.15,95.9,11~20,"41,000",1990,독립문로
 서울특별시 서대문구 창천동,단독,142.15,238,21~31,"62,000",1978,신촌로7길
 서울특별시 서대문구 홍은동,단독,144.21,85,21~31,"34,836",1991,
 서울특별시 서대문구 홍은동,단독,49.12,116,21~31,"38,131",1970,
 서울특별시 서대문구 홍은동,단독,272.52,119,21~31,"58,033",1996,
 서울특별시 서대문구 홍제동,다가구,55.08,64.51,11~20,"12,000",1985,
 서울특별시 서대문구 홍제동,다가구,79.16,76,21~31,"9,350",1970,문화촌1길
 서울특별시 서대문구 홍제동,다가구,184.8,136,21~31,"48,000",1995,세무서6길
 서울특별시 서초구 방배동,단독,130.08,163.5,21~31,"79,500",1976,방배로15길
 서울특별시 서초구 우면동,다가구,532.44,330.5,11~20,"157,900",1992,바우뫼로6길
 서울특별시 서초구 우면동,단독,226.98,353,21~31,"125,000",2006,바우뫼로11안길
 서울특별시 성동구 금호동4가,단독,26.45,5.3,21~31,"1,800",1980,독서당로46길
 서울특별시 성동구 금호동4가,단독,44.07,51.9,21~31,"22,000",1957,
 서울특별시 성동구 마장동,단독,99,57.94,21~31,"24,000",1997,
 서울특별시 성동구 상왕십리동,단독,39.67,112,1~10,"53,000",1959,
 서울특별시 성동구 송정동,다가구,213.23,126,1~10,"51,300",1995,동일로55다길
 서울특별시 성동구 송정동,단독,137.07,96,11~20,"28,000",1988,송정18길
 서울특별시 성동구 하왕십리동,단독,39.91,60.8,1~10,"20,500",1985,
 서울특별시 성북구 길음동,단독,45.65,77.4,11~20,"25,000",1967,삼양로9길
 서울특별시 성북구 길음동,단독,82.65,134.95,1~10,"50,000",1980,동소문로
 서울특별시 성북구 동소문동6가,단독,72.73,102.5,21~31,"42,500",1980,
 서울특별시 성북구 보문동1가,단독,23.14,47.9,21~31,"10,800",1936,
 서울특별시 성북구 보문동5가,단독,164.96,101.2,21~31,"66,500",2008,보문로21길
 서울특별시 성북구 보문동5가,단독,118.4,126.9,1~10,"27,000",2003,
 서울특별시 성북구 삼선동1가,단독,10.84,16.15,21~31,"2,800",1986,삼선교로10다길
 서울특별시 성북구 성북동,단독,109.07,73,11~20,"40,000",1998,성북로12길
 서울특별시 성북구 성북동,단독,73.62,102,1~10,"37,200",1960,성북로10길
 서울특별시 성북구 성북동,단독,467.88,654,21~31,"280,070",2005,성북로14길
 서울특별시 성북구 안암동1가,다가구,174.4,80,21~31,"33,000",1994,
 서울특별시 성북구 안암동2가,단독,43.37,72.7,21~31,"17,000",1970,보문로26길
 서울특별시 성북구 안암동5가,다가구,365.22,194,1~10,"90,000",1994,인촌로27길
 서울특별시 성북구 정릉동,다가구,182.97,132,21~31,"36,400",1992,솔샘로24길
 서울특별시 성북구 정릉동,단독,23.14,50,1~10,"14,000",1940,
 서울특별시 성북구 정릉동,단독,148.26,99,1~10,"30,000",1982,정릉로38바길
 서울특별시 성북구 정릉동,단독,187.24,298,1~10,"59,900",1983,솔샘로
 서울특별시 송파구 가락동,단독,249.95,181.9,11~20,"105,000",1990,중대로10길
 서울특별시 송파구 거여동,다가구,127.74,83,11~20,"37,000",1992,거마로15길
 서울특별시 송파구 거여동,다가구,175.59,116.3,11~20,"65,000",1996,오금로62길
 서울특별시 송파구 거여동,다가구,227.28,156,11~20,"77,000",1990,오금로53길
 서울특별시 송파구 거여동,단독,134.64,89.8,1~10,"37,000",1988,오금로54길
 서울특별시 송파구 마천동,다가구,148.14,99,11~20,"55,000",1991,성내천로29나길
 서울특별시 송파구 마천동,다가구,196.76,119,11~20,"57,000",1993,마천로39길
 서울특별시 송파구 마천동,다가구,349.32,155,11~20,"86,000",1997,성내천로42길
 서울특별시 송파구 마천동,단독,181.8,122,21~31,"52,500",1987,거마로22길
 서울특별시 송파구 문정동,다가구,537.09,265.6,11~20,"236,212",1996,송이로32길
 서울특별시 송파구 방이동,다가구,299.61,244.7,21~31,"97,000",1990,오금로29길
 서울특별시 송파구 방이동,단독,230.36,173.1,11~20,"70,000",1983,오금로21길
 서울특별시 송파구 석촌동,다가구,657.97,413.4,1~10,"240,000",1994,백제고분로37가길
 서울특별시 송파구 풍납동,단독,315.56,208,1~10,"89,000",1990,토성로7길
 서울특별시 양천구 신월동,다가구,245.94,162.2,11~20,"41,600",1990,곰달래로9길
 서울특별시 양천구 신정동,다가구,214.87,125.8,11~20,"53,000",1984,신월로36길
 서울특별시 양천구 신정동,다가구,368.88,161.5,21~31,"59,800",1997,은행정로
 서울특별시 영등포구 당산동1가,단독,26.45,51.23,21~31,"15,200",1959,영등포로25길
 서울특별시 영등포구 대림동,다가구,237.57,126,11~20,"60,000",1993,디지털로57길
 서울특별시 영등포구 대림동,단독,145.7,109,11~20,"32,600",1990,도신로10길
 서울특별시 영등포구 대림동,단독,289.72,152,1~10,"75,900",1994,디지털로37가길
 서울특별시 영등포구 대림동,단독,298.67,166.1,11~20,"57,000",1985,
 서울특별시 영등포구 대림동,단독,327.9,233,21~31,"74,500",1986,대림로40나길
 서울특별시 영등포구 신길동,다가구,204.61,127,21~31,"43,500",1986,
 서울특별시 영등포구 신길동,다가구,202.26,137,11~20,"57,600",1995,
 서울특별시 영등포구 영등포동3가,단독,45.85,49.6,21~31,"50,000",1970,영중로10길
 서울특별시 용산구 용산동2가,단독,28.86,66.1,11~20,"24,000",1958,신흥로25가길
 서울특별시 용산구 이태원동,단독,50.68,92,11~20,"40,000",1963,녹사평대로32길
 서울특별시 용산구 한강로3가,단독,55.44,109.1,1~10,"65,000",1958,한강대로14가길
 서울특별시 용산구 후암동,단독,50.51,132.2,21~31,"67,000",1989,후암로35길
 서울특별시 은평구 갈현동,단독,75.8,142,21~31,"31,500",1967,갈현로43길
 서울특별시 은평구 구산동,단독,125.25,138.2,11~20,"41,700",1973,연서로13길
 서울특별시 은평구 녹번동,다가구,29.19,18.4,21~31,"5,500",1992,은평로21길
 서울특별시 은평구 녹번동,다가구,41.24,32.5,11~20,"4,900",1990,녹번로
 서울특별시 은평구 불광동,단독,80.34,182,11~20,"50,000",1967,통일로68가길
 서울특별시 은평구 신사동,단독,148.76,202.8,21~31,"60,000",1978,은평로1길
 서울특별시 은평구 역촌동,다가구,41,27.5,1~10,"13,000",1988,진흥로5길
 서울특별시 은평구 역촌동,단독,40.7,29.9,1~10,"8,500",1989,갈현로14길
 서울특별시 은평구 역촌동,단독,273.85,164.6,11~20,"51,000",1993,진흥로7나길
 서울특별시 은평구 역촌동,단독,194.79,169.3,21~31,"49,500",1984,연서로14길
 서울특별시 은평구 응암동,다가구,44.88,30.26,11~20,"8,500",1990,응암로28길
 서울특별시 은평구 응암동,단독,28.78,28.78,21~31,"3,900",1972,응암로34길
 서울특별시 종로구 명륜3가,단독,103.02,183.2,1~10,"39,000",1948,성균관로5길
 서울특별시 종로구 부암동,단독,66.12,413,21~31,"125,000",1960,백석동길
 서울특별시 종로구 송월동,다가구,333.28,266.8,21~31,"63,000",1970,송월길
 서울특별시 종로구 안국동,단독,52.9,95.9,21~31,"52,000",1970,
 서울특별시 종로구 원서동,단독,17.33,25.5,1~10,"6,300",1970,창덕궁3길
 서울특별시 종로구 익선동,단독,47.54,89.3,1~10,"33,000",1970,삼일대로32가길
 서울특별시 종로구 충신동,단독,28.5,24.8,21~31,"9,800",1978,충신4나길
 서울특별시 종로구 평창동,단독,59.67,138.88,11~20,"18,000",1970,평창8길
 서울특별시 종로구 평창동,단독,69.82,199,1~10,"25,000",1967,평창8길
 서울특별시 종로구 평창동,단독,419.75,645,1~10,"90,000",1998,평창21길
 서울특별시 종로구 홍지동,단독,95.17,221,11~20,"88,000",1968,
 서울특별시 중구 남산동2가,단독,721.43,548.8,1~10,"350,000",1971,퇴계로20길
 서울특별시 중구 만리동1가,단독,351.95,124.6,21~31,"105,532",1994,
 서울특별시 중구 신당동,단독,28.57,53,11~20,"24,000",1950,다산로39길
 서울특별시 중구 신당동,단독,162.96,73,1~10,"43,000",1989,다산로33길
 서울특별시 중구 을지로6가,단독,112.4,52.9,1~10,"24,951",1950,을지로40길
 서울특별시 중구 을지로6가,단독,56.2,62.8,1~10,"29,604",1950,을지로40길
 서울특별시 중랑구 망우동,다가구,179.24,110.4,11~20,"24,000",1998,용마공원로5가길
 서울특별시 중랑구 망우동,단독,210.3,142.8,11~20,"30,000",1989,용마산로115길
 서울특별시 중랑구 면목동,다가구,134.38,96,21~31,"33,000",1992,용마산로52길
