시군구,주택유형,연면적(m2),대지면적(m2),계약일,거래금액(만원),건축년도,도로명
 서울특별시 강남구 도곡동,다가구,395.25,238,11~20,"174,000",1991,도곡로2길
 서울특별시 강남구 삼성동,단독,204.4,193.5,1~10,"223,000",1983,봉은사로78길
 서울특별시 강남구 세곡동,단독,218.16,266,11~20,"102,000",1983,밤고개로34길
 서울특별시 강남구 신사동,다가구,536.97,238.7,11~20,"265,000",1995,언주로157길
 서울특별시 강남구 역삼동,단독,93.59,170.55,21~30,"65,250",1982,테헤란로28길
 서울특별시 강남구 청담동,다가구,651.44,362.5,1~10,"480,000",1991,도산대로101길
 서울특별시 강동구 길동,다가구,417.04,216,21~30,"121,000",1995,천중로53길
 서울특별시 강동구 길동,단독,382.79,170.8,11~20,"102,700",1996,천호대로197길
 서울특별시 강동구 길동,단독,622.29,200.1,11~20,"150,000",1991,명일로
 서울특별시 강동구 길동,단독,325.06,284.7,1~10,"163,000",1982,천호대로191길
 서울특별시 강동구 명일동,단독,492.68,218.5,11~20,"127,000",1986,동남로65길
 서울특별시 강동구 명일동,단독,492.68,218.5,11~20,"127,000",1986,동남로65길
 서울특별시 강동구 성내동,단독,321.25,172,1~10,"118,200",1984,성내로6길
 서울특별시 강동구 암사동,단독,140,134.7,1~10,"69,869",1982,
 서울특별시 강동구 암사동,단독,140,134.8,1~10,"69,920",1982,
 서울특별시 강동구 천호동,다가구,375.47,169.1,11~20,"99,000",2001,천중로17길
 서울특별시 강동구 천호동,단독,226.92,152,1~10,"51,000",1988,상암로27가길
 서울특별시 강동구 천호동,단독,243.33,165.7,11~20,"71,500",1989,양재대로127길
 서울특별시 강북구 미아동,다가구,90.93,53,1~10,"20,000",1992,솔샘로64가길
 서울특별시 강북구 미아동,다가구,132.45,85.6,11~20,"31,300",1993,도봉로72길
 서울특별시 강북구 미아동,다가구,145.8,96.2,21~30,"31,000",1993,도봉로41길
 서울특별시 강북구 미아동,다가구,303,165,21~30,"71,750",1994,월계로13길
 서울특별시 강북구 미아동,단독,42.2,65.5,1~10,"25,000",1985,도봉로28나길
 서울특별시 강북구 미아동,단독,67.74,89,21~30,"25,300",1970,삼양로38길
 서울특별시 강북구 미아동,단독,64.8,90,1~10,"20,060",2004,삼양로68길
 서울특별시 강북구 미아동,단독,146,100.2,1~10,"33,500",1993,도봉로72길
 서울특별시 강북구 미아동,단독,85.58,116,11~20,"44,720",1972,삼양로53길
 서울특별시 강북구 미아동,단독,118.29,132,11~20,"42,000",1983,삼양로22길
 서울특별시 강북구 미아동,단독,118.29,132,1~10,"42,000",1983,삼양로22길
 서울특별시 강북구 번동,다가구,171.1,106.1,21~30,"36,800",1993,한천로130길
 서울특별시 강북구 번동,단독,65.82,89.6,1~10,"27,675",1970,덕릉로41길
 서울특별시 강북구 번동,단독,161.36,169.9,11~20,"51,100",1974,한천로124다길
 서울특별시 강북구 번동,단독,181.68,184.6,11~20,"71,000",1979,한천로124나길
 서울특별시 강북구 수유동,다가구,145.2,83,21~30,"22,300",1992,한천로160길
 서울특별시 강북구 수유동,다가구,150.84,148.1,11~20,"45,000",1983,노해로33길
 서울특별시 강북구 수유동,다가구,336.12,165,1~10,"63,500",1997,4.19로2길
 서울특별시 강북구 수유동,단독,89.88,86,11~20,"29,500",1970,삼양로77길
 서울특별시 강북구 수유동,단독,60.13,99,21~30,"25,500",1967,삼양로81길
 서울특별시 강북구 수유동,단독,91.74,116,11~20,"30,500",1975,인수봉로
 서울특별시 강북구 수유동,단독,127.48,124.3,1~10,"46,500",1983,한천로143길
 서울특별시 강북구 수유동,단독,194.67,129,1~10,"41,700",1988,삼양로111길
 서울특별시 강북구 수유동,단독,210.78,143,21~30,"55,300",1986,삼양로111길
 서울특별시 강북구 수유동,단독,71.93,149,11~20,"42,250",1983,인수봉로76길
 서울특별시 강북구 수유동,단독,128.93,180.5,1~10,"55,000",1977,도봉로101길
 서울특별시 강북구 수유동,단독,391.59,240,11~20,"130,000",1975,덕릉로
 서울특별시 강북구 수유동,단독,198.05,261,1~10,"69,000",1984,4.19로9길
 서울특별시 강북구 우이동,단독,491.7,241,21~30,"77,000",1994,삼양로169길
 서울특별시 강서구 가양동,단독,183.33,536,21~30,"170,000",2005,양천로49길
 서울특별시 강서구 공항동,다가구,271.2,116,21~30,"58,000",1992,공항대로8길
 서울특별시 강서구 공항동,다가구,156.54,165,1~10,"56,000",1984,
 서울특별시 강서구 공항동,단독,249.3,166,1~10,"63,500",1988,방화대로7길
 서울특별시 강서구 내발산동,단독,169.92,194.8,1~10,"30,000",1982,강서로
 서울특별시 강서구 등촌동,단독,420.81,140.6,21~30,"73,000",2000,등촌로39길
 서울특별시 강서구 방화동,다가구,188.4,116,21~30,"48,250",1992,방화대로
 서울특별시 강서구 방화동,다가구,239.58,162,21~30,"46,300",1989,방화동로12가길
 서울특별시 강서구 방화동,다가구,202.83,498,1~10,"173,190",1969,
 서울특별시 강서구 방화동,단독,49.59,103,11~20,"26,470",1968,
 서울특별시 강서구 화곡동,다가구,173.09,95,1~10,"49,000",1990,화곡로24길
 서울특별시 강서구 화곡동,다가구,196.68,120.3,21~30,"31,900",1993,등촌로13라길
 서울특별시 강서구 화곡동,다가구,187.65,125.6,1~10,"49,000",1990,
 서울특별시 강서구 화곡동,다가구,237.68,141.1,1~10,"53,000",1991,가로공원로82길
