시군구,주택유형,연면적(m2),대지면적(m2),계약일,거래금액(만원),건축년도,도로명
 서울특별시 강남구 논현동,다가구,588.46,258.3,11~20,"149,500",1997,강남대로146길
 서울특별시 강남구 논현동,단독,152.36,162.6,21~30,"90,000",1978,학동로47길
 서울특별시 강남구 논현동,단독,158.02,194.6,11~20,"92,873",1977,논현로123길
 서울특별시 강남구 논현동,단독,218.32,210.7,11~20,"143,400",1975,학동로9길
 서울특별시 강남구 논현동,단독,273.33,260,11~20,"160,000",1980,논현로127길
 서울특별시 강남구 논현동,단독,192.6,480.4,11~20,"360,000",1978,학동로30길
 서울특별시 강남구 신사동,단독,172.01,162.7,1~10,"69,000",1985,논현로153길
 서울특별시 강남구 신사동,단독,246.75,166.5,11~20,"100,000",1986,압구정로18길
 서울특별시 강남구 신사동,단독,159,238.6,21~30,"115,000",1975,논현로154길
 서울특별시 강남구 역삼동,다가구,616.49,230.2,21~30,"177,000",2004,봉은사로34길
 서울특별시 강남구 역삼동,다가구,301.74,323.8,21~30,"205,000",1992,봉은사로44길
 서울특별시 강남구 역삼동,다가구,326.7,363.5,1~10,"240,000",1992,봉은사로26길
 서울특별시 강남구 역삼동,단독,246.15,224.9,11~20,"180,000",1982,
 서울특별시 강남구 역삼동,단독,328.26,288.8,11~20,"236,000",1994,봉은사로18길
 서울특별시 강남구 역삼동,단독,160.72,372.5,1~10,"269,000",1988,강남대로98길
 서울특별시 강남구 청담동,단독,134.64,124.4,1~10,"116,500",1986,도산대로89길
 서울특별시 강남구 청담동,단독,68.27,132.9,21~30,"80,500",1972,도산대로98길
 서울특별시 강남구 청담동,단독,369.89,274.3,21~30,"250,000",1984,
 서울특별시 강동구 길동,단독,201.33,151.1,1~10,"47,500",1987,양재대로116길
 서울특별시 강동구 길동,단독,239.91,218.1,21~30,"80,000",1982,천중로40길
 서울특별시 강동구 명일동,다가구,479.42,214.9,1~10,"105,000",1997,양재대로122가길
 서울특별시 강동구 상일동,단독,483.38,188.3,1~10,"83,000",1988,천호대로219다길
 서울특별시 강동구 성내동,다가구,149.04,96,1~10,"40,500",1993,올림픽로60길
 서울특별시 강동구 성내동,다가구,470.54,213.9,11~20,"96,000",1994,성내로13길
 서울특별시 강동구 성내동,다가구,534.15,232.6,11~20,"109,000",1994,성내로13길
 서울특별시 강동구 성내동,단독,68.86,102,1~10,"35,650",1971,천호대로168라길
 서울특별시 강동구 성내동,단독,172.23,111,11~20,"30,500",1988,양재대로101길
 서울특별시 강동구 성내동,단독,191.02,122,21~30,"46,000",1990,풍성로
 서울특별시 강동구 성내동,단독,170.4,173.6,1~10,"53,500",1981,천호대로174길
 서울특별시 강동구 성내동,단독,249.45,178,11~20,"73,000",1988,천호대로168나길
 서울특별시 강동구 암사동,다가구,170.31,208.4,1~10,"75,600",1979,상암로
 서울특별시 강동구 암사동,단독,399.23,165.3,1~10,"75,000",1992,상암로15길
 서울특별시 강동구 암사동,단독,197.89,174.7,1~10,"39,638",1982,상암로15길
 서울특별시 강동구 천호동,다가구,144.98,109,11~20,"32,000",1990,구천면로46길
 서울특별시 강동구 천호동,단독,73.65,86,1~10,"34,000",1972,올림픽로80길
 서울특별시 강동구 천호동,단독,138.33,89,1~10,"45,900",1990,구천면로29길
 서울특별시 강동구 천호동,단독,148.59,109,11~20,"46,200",1990,구천면로25길
 서울특별시 강동구 천호동,단독,385.26,172,11~20,"72,000",1995,천중로18길
 서울특별시 강북구 미아동,다가구,135.09,79,11~20,"20,350",1994,솔샘로
 서울특별시 강북구 미아동,다가구,178.31,109,1~10,"49,200",1994,도봉로10다길
 서울특별시 강북구 미아동,다가구,115.61,113.7,11~20,"25,000",1997,도봉로28길
 서울특별시 강북구 미아동,다가구,198.22,119,1~10,"40,750",1993,삼양로16길
 서울특별시 강북구 미아동,다가구,381.51,161,11~20,"48,000",1996,덕릉로30길
 서울특별시 강북구 미아동,다가구,229.88,163,11~20,"44,100",1989,삼양로38길
 서울특별시 강북구 미아동,단독,35.87,40,11~20,"10,600",1971,도봉로28나길
 서울특별시 강북구 미아동,단독,25.3,46.26,11~20,"13,000",1985,도봉로28나길
 서울특별시 강북구 미아동,단독,33.05,60,11~20,"16,700",1977,삼양로59길
 서울특별시 강북구 미아동,단독,47.17,60,11~20,"20,650",1985,숭인로5길
 서울특별시 강북구 미아동,단독,38.02,63,11~20,"30,000",1967,솔샘로64나길
 서울특별시 강북구 미아동,단독,52.73,63,1~10,"28,000",1971,
 서울특별시 강북구 미아동,단독,49.88,66,11~20,"17,800",1971,삼양로16길
 서울특별시 강북구 미아동,단독,55.47,74,1~10,"11,000",1969,솔샘로35가길
 서울특별시 강북구 미아동,단독,40.76,75.7,11~20,"25,000",1967,덕릉로28길
 서울특별시 강북구 미아동,단독,49.75,79,1~10,"30,000",1969,
 서울특별시 강북구 미아동,단독,51.5,79,1~10,"29,200",1968,삼양로20나길
 서울특별시 강북구 미아동,단독,49.29,79.7,1~10,"17,800",1969,도봉로19길
 서울특별시 강북구 미아동,단독,43.37,81.3,1~10,"14,000",1967,솔매로39길
 서울특별시 강북구 미아동,단독,140.1,85.3,1~10,"23,400",1994,도봉로72길
 서울특별시 강북구 미아동,단독,57.25,89,21~30,"29,000",1968,
 서울특별시 강북구 미아동,단독,61.23,89,1~10,"29,500",1967,
 서울특별시 강북구 미아동,단독,61.52,91.2,1~10,"20,000",1969,
 서울특별시 강북구 미아동,단독,150.18,92.2,1~10,"24,400",1995,도봉로76길
 서울특별시 강북구 미아동,단독,66.81,93,1~10,"32,700",1970,삼양로20나길
 서울특별시 강북구 미아동,단독,183.36,94,1~10,"39,500",1996,오현로6길
 서울특별시 강북구 미아동,단독,169.84,96.9,11~20,"35,000",1994,솔매로43길
 서울특별시 강북구 미아동,단독,39.03,103,11~20,"25,000",1985,삼양로22길
 서울특별시 강북구 미아동,단독,79.8,103.5,1~10,"25,750",1970,도봉로18가길
 서울특별시 강북구 미아동,단독,33.05,106,11~20,"30,500",1972,솔샘로60나길
 서울특별시 강북구 미아동,단독,164.88,106.4,21~30,"31,700",1990,덕릉로30길
 서울특별시 강북구 미아동,단독,60.23,116,21~30,"37,500",1968,
 서울특별시 강북구 미아동,단독,79.94,122,1~10,"15,000",1974,오현로9가길
 서울특별시 강북구 미아동,단독,76.1,129,11~20,"39,500",1976,
 서울특별시 강북구 미아동,단독,84.04,145,11~20,"59,500",1969,솔샘로48길
 서울특별시 강북구 미아동,단독,188.52,148,1~10,"90,000",1986,솔샘로
 서울특별시 강북구 미아동,단독,244.56,161.3,11~20,"48,700",1992,솔매로41길
 서울특별시 강북구 미아동,단독,161.19,179,11~20,"38,500",1976,오현로9다길
 서울특별시 강북구 미아동,단독,178.11,212,21~30,"59,000",1978,월계로21길
 서울특별시 강북구 미아동,단독,241.14,315,21~30,"43,000",1978,월계로21나길
 서울특별시 강북구 번동,단독,148.51,93.2,1~10,"23,000",1994,덕릉로
 서울특별시 강북구 번동,단독,160.64,97.5,1~10,"27,000",1990,오패산로
 서울특별시 강북구 번동,단독,133.26,97.9,11~20,"25,200",1990,한천로
 서울특별시 강북구 번동,단독,69.49,100.8,11~20,"21,200",1973,한천로123가길
 서울특별시 강북구 번동,단독,59.58,102,11~20,"19,500",1986,덕릉로40라길
 서울특별시 강북구 번동,단독,228.09,175.6,1~10,"26,500",1979,한천로124다길
 서울특별시 강북구 수유동,다가구,143.52,75.3,11~20,"22,000",1993,한천로144길
 서울특별시 강북구 수유동,다가구,149.17,102,11~20,"19,700",1992,인수봉로
 서울특별시 강북구 수유동,다가구,149.17,102,1~10,"19,700",1992,인수봉로
 서울특별시 강북구 수유동,다가구,255.63,151.1,21~30,"40,000",1992,삼각산로28길
 서울특별시 강북구 수유동,다가구,349.32,152,11~20,"50,500",2001,삼양로111길
 서울특별시 강북구 수유동,다가구,355.33,162,1~10,"51,000",1998,인수봉로55길
 서울특별시 강북구 수유동,다가구,308.88,163,11~20,"44,000",1994,인수봉로60길
