시군구,주택유형,연면적(m2),대지면적(m2),계약일,거래금액(만원),건축년도,도로명
 서울특별시 강남구 개포동,다가구,379.2,179.3,11~20,"127,000",0,논현로18길
 서울특별시 강남구 논현동,다가구,740.58,429.3,11~20,"351,000",0,학동로3길
 서울특별시 강남구 논현동,단독,233.7,156.2,11~20,"91,000",1990,강남대로128길
 서울특별시 강남구 논현동,단독,329.6,651.3,1~10,"520,000",1989,학동로19길
 서울특별시 강남구 역삼동,다가구,106.45,157.6,1~10,"112,000",1977,논현로63길
 서울특별시 강남구 청담동,단독,175.87,167.4,21~30,"136,000",0,도산대로85길
 서울특별시 강동구 길동,다가구,123.4,112.4,11~20,"42,000",0,천중로50길
 서울특별시 강동구 길동,다가구,201.38,157.9,11~20,"54,000",0,천중로50길
 서울특별시 강동구 길동,다가구,448.44,192.7,11~20,"121,000",0,천중로48길
 서울특별시 강동구 길동,단독,212.4,142.4,21~30,"63,750",0,천호대로197길
 서울특별시 강동구 길동,단독,206.67,153.2,11~20,"57,200",0,양재대로
 서울특별시 강동구 길동,단독,419.2,188.5,1~10,"117,034",1997,명일로
 서울특별시 강동구 길동,단독,257.82,206.9,1~10,"70,000",1993,천중로55길
 서울특별시 강동구 명일동,단독,207.36,140.3,11~20,"59,000",0,천중로51길
 서울특별시 강동구 상일동,단독,326.07,220.5,21~30,"99,000",0,상암로79가길
 서울특별시 강동구 상일동,단독,289.24,223.3,11~20,"95,000",0,상암로81길
 서울특별시 강동구 성내동,다가구,294.54,135,11~20,"66,000",1994,풍성로37가길
 서울특별시 강동구 성내동,단독,170.24,170.6,21~30,"61,500",0,풍성로52길
 서울특별시 강동구 성내동,단독,390.55,255.1,1~10,"122,470",0,천호대로170길
 서울특별시 강동구 암사동,다가구,306.64,157.5,21~30,"62,740",0,구천면로53길
 서울특별시 강동구 암사동,다가구,412.6,182,21~30,"80,000",0,구천면로59길
 서울특별시 강동구 암사동,단독,235.32,153.8,1~10,"52,549",0,고덕로20가길
 서울특별시 강동구 암사동,단독,246,168.2,1~10,"67,900",1987,고덕로24나길
 서울특별시 강동구 암사동,단독,422.21,201.7,11~20,"138,000",0,고덕로10길
 서울특별시 강동구 천호동,다가구,268.47,140,21~30,"60,000",0,천중로35나길
 서울특별시 강동구 천호동,단독,194.11,43,11~20,"45,300",1968,
 서울특별시 강동구 천호동,단독,246.42,182,21~30,"71,500",1989,진황도로27나길
 서울특별시 강북구 미아동,다가구,125.08,73.4,11~20,"35,000",0,도봉로68길
 서울특별시 강북구 미아동,다가구,135.09,79,11~20,"25,500",1994,솔샘로
 서울특별시 강북구 미아동,다가구,133.95,88.6,11~20,"32,600",0,도봉로76길
 서울특별시 강북구 미아동,다가구,139.36,96,11~20,"36,000",0,오패산로
 서울특별시 강북구 미아동,다가구,178.31,109,1~10,"49,500",1994,도봉로10다길
 서울특별시 강북구 미아동,다가구,169.3,122,21~30,"44,280",1994,오패산로35길
 서울특별시 강북구 미아동,다가구,297.78,172,11~20,"56,000",0,삼양로41길
 서울특별시 강북구 미아동,단독,38.84,50,21~30,"10,500",0,솔샘로47가길
 서울특별시 강북구 미아동,단독,73.26,115.4,21~30,"25,000",1969,솔샘로67길
 서울특별시 강북구 미아동,단독,79.34,116.7,21~30,"29,500",0,도봉로23길
 서울특별시 강북구 미아동,단독,92.93,119,11~20,"43,200",0,오패산로37길
 서울특별시 강북구 미아동,단독,126.48,169,1~10,"40,000",1978,오현로9길
 서울특별시 강북구 미아동,단독,260.23,259.2,11~20,"102,700",0,도봉로76길
 서울특별시 강북구 번동,단독,148.77,97.5,21~30,"35,400",1992,덕릉로41길
 서울특별시 강북구 번동,단독,136.68,99,1~10,"12,000",1987,덕릉로40라길
 서울특별시 강북구 번동,단독,81.88,142,21~30,"36,000",1975,덕릉로40길
 서울특별시 강북구 번동,단독,164.5,212.6,11~20,"98,000",1975,오패산로77가길
 서울특별시 강북구 수유동,다가구,199.53,112,1~10,"41,400",0,삼양로
 서울특별시 강북구 수유동,다가구,215.46,147,1~10,"54,500",0,노해로9가길
 서울특별시 강북구 수유동,다가구,225.93,172,1~10,"44,300",0,인수봉로61길
 서울특별시 강북구 수유동,단독,57.2,60,11~20,"20,800",2004,삼양로73길
 서울특별시 강북구 수유동,단독,51.63,63,11~20,"14,000",1971,삼양로90길
 서울특별시 강북구 수유동,단독,66.98,94.9,11~20,"33,000",1971,한천로139나길
 서울특별시 강북구 수유동,단독,197.8,131.6,1~10,"59,500",1991,도봉로81길
 서울특별시 강북구 수유동,단독,236.37,146.1,1~10,"57,100",1983,노해로15길
 서울특별시 강북구 수유동,단독,231.75,152,1~10,"54,500",0,인수봉로64길
 서울특별시 강북구 수유동,단독,162.94,172,1~10,"44,700",1977,삼양로
 서울특별시 강북구 수유동,단독,292.05,238,21~30,"75,000",0,노해로32길
 서울특별시 강북구 우이동,단독,37.19,53,11~20,"11,800",0,삼양로163길
 서울특별시 강북구 우이동,단독,38.58,93,11~20,"30,000",0,
 서울특별시 강북구 우이동,단독,227.14,1587,21~30,"73,000",1965,삼양로181길
 서울특별시 강서구 공항동,다가구,249.94,169.8,21~30,"64,000",0,방화대로7나길
 서울특별시 강서구 내발산동,다가구,283.86,191.4,11~20,"83,000",0,우장산로6길
 서울특별시 강서구 방화동,다가구,194.49,139,11~20,"54,600",0,개화동로29길
 서울특별시 강서구 염창동,단독,63.14,141.6,21~30,"38,000",1970,양천로
 서울특별시 강서구 염창동,단독,192.87,339.8,1~10,"200,000",1984,양천로65길
 서울특별시 강서구 화곡동,다가구,193.63,113.4,21~30,"44,414",0,곰달래로28길
 서울특별시 강서구 화곡동,다가구,232.9,116.6,1~10,"45,180",0,강서로16길
 서울특별시 강서구 화곡동,다가구,199.26,129.6,1~10,"43,900",0,강서로8길
 서울특별시 강서구 화곡동,다가구,271.72,129.8,1~10,"56,000",0,화곡로18길
 서울특별시 강서구 화곡동,다가구,209.84,131.2,21~30,"47,000",0,강서로12길
 서울특별시 강서구 화곡동,다가구,278.06,138.1,21~30,"53,000",0,곰달래로37길
 서울특별시 강서구 화곡동,다가구,230.67,157,1~10,"57,000",0,강서로15길
 서울특별시 강서구 화곡동,다가구,258.84,158,21~30,"49,916",0,까치산로20길
 서울특별시 강서구 화곡동,다가구,249.58,201.1,11~20,"69,000",0,화곡로13나길
 서울특별시 강서구 화곡동,단독,96.89,106.4,1~10,"30,000",1977,강서로8길
 서울특별시 강서구 화곡동,단독,77.88,119,1~10,"32,400",0,강서로8길
 서울특별시 강서구 화곡동,단독,58.35,126.6,1~10,"30,000",1971,월정로20길
 서울특별시 강서구 화곡동,단독,198.03,131.2,21~30,"47,520",0,강서로16길
 서울특별시 강서구 화곡동,단독,196.98,132.1,21~30,"49,000",1990,곰달래로27길
 서울특별시 강서구 화곡동,단독,249.04,147.8,21~30,"54,000",1991,강서로17나길
 서울특별시 강서구 화곡동,단독,81.14,148.4,21~30,"76,500",1972,공항대로46길
 서울특별시 강서구 화곡동,단독,80.99,155.4,21~30,"49,000",0,강서로18길
 서울특별시 강서구 화곡동,단독,149.59,164.3,21~30,"60,000",0,강서로16길
 서울특별시 강서구 화곡동,단독,239.46,173.8,11~20,"50,500",1989,강서로18길
 서울특별시 강서구 화곡동,단독,69.69,176.5,11~20,"49,000",1970,우장산로15길
 서울특별시 강서구 화곡동,단독,159.34,241,1~10,"65,000",1974,화곡로35길
 서울특별시 강서구 화곡동,단독,229.28,243.1,1~10,"85,000",1983,화곡로59길
 서울특별시 강서구 화곡동,단독,200.11,283,11~20,"83,900",0,강서로35길
 서울특별시 관악구 봉천동,다가구,348.19,159,1~10,"78,500",1995,당곡6가길
 서울특별시 관악구 봉천동,다가구,367.72,159.7,11~20,"90,000",0,낙성대로4길
 서울특별시 관악구 봉천동,단독,93.52,98.2,11~20,"33,000",0,장군봉4길
 서울특별시 관악구 봉천동,단독,93.52,100.4,11~20,"38,000",0,장군봉4길
 서울특별시 관악구 봉천동,단독,82.31,130.7,11~20,"43,450",0,청룡중앙길
 서울특별시 관악구 봉천동,단독,127.47,131,1~10,"60,000",1973,행운1길
 서울특별시 관악구 봉천동,단독,159.12,136,1~10,"30,750",1983,행운길
 서울특별시 관악구 봉천동,단독,169.66,152.4,1~10,"150,000",0,관악로15길
 서울특별시 관악구 봉천동,단독,159.66,154.1,11~20,"73,300",1977,봉천로
 서울특별시 관악구 봉천동,단독,147.44,159,21~30,"70,000",0,행운7길
 서울특별시 관악구 봉천동,단독,180.28,161.4,11~20,"76,800",1977,봉천로
 서울특별시 관악구 봉천동,단독,302.48,169.3,11~20,"80,000",2004,봉천로33가길
 서울특별시 관악구 봉천동,단독,101.62,170.9,11~20,"73,000",1975,봉천로33가길
 서울특별시 관악구 봉천동,단독,244.92,181.8,1~10,"86,400",0,남부순환로
 서울특별시 관악구 봉천동,단독,249.43,248,21~30,"93,750",0,인헌23길
 서울특별시 관악구 신림동,다가구,152.89,93,1~10,"36,800",0,양지16길
 서울특별시 관악구 신림동,다가구,168.45,102,1~10,"35,500",0,난곡로18길
 서울특별시 관악구 신림동,다가구,181.86,106.5,1~10,"47,500",0,신림로53길
 서울특별시 관악구 신림동,다가구,166.14,111.6,1~10,"50,000",0,문성로27길
 서울특별시 관악구 신림동,다가구,199.62,131.2,1~10,"54,800",0,관천로15길
 서울특별시 관악구 신림동,다가구,224.07,135.2,21~30,"55,800",0,남부순환로131가길
 서울특별시 관악구 신림동,다가구,241.41,155.8,21~30,"67,500",0,문성로32가길
 서울특별시 관악구 신림동,다가구,380.85,186.1,11~20,"112,000",0,신림로73길
 서울특별시 관악구 신림동,다가구,187.11,221,21~30,"52,000",0,서림1길
 서울특별시 관악구 신림동,단독,49.39,73,11~20,"28,600",1975,양산길
 서울특별시 관악구 신림동,단독,130.6,83,1~10,"34,000",1991,양지17길
 서울특별시 관악구 신림동,단독,135.59,86,1~10,"33,800",1991,양지13길
 서울특별시 관악구 신림동,단독,110.55,88.9,1~10,"55,000",0,신림로64길
 서울특별시 관악구 신림동,단독,53.02,96.7,21~30,"15,000",1973,신림로53길
 서울특별시 관악구 신림동,단독,163.08,106.1,21~30,"39,800",0,남부순환로131가길
 서울특별시 관악구 신림동,단독,163.26,109,1~10,"33,000",1989,법원단지5길
 서울특별시 관악구 신림동,단독,192.87,132,11~20,"30,000",1989,문성로32길
 서울특별시 관악구 신림동,단독,188.5,133.2,1~10,"44,500",1988,신림로53가길
 서울특별시 관악구 신림동,단독,86.61,139,11~20,"24,500",1979,대학14길
 서울특별시 관악구 신림동,단독,241.83,162,21~30,"40,800",0,법원단지24길
 서울특별시 관악구 신림동,단독,229.26,165,21~30,"53,500",1989,신림로11가길
 서울특별시 관악구 신림동,단독,247.9,174.9,11~20,"81,000",1985,남부순환로155길
 서울특별시 관악구 신림동,단독,246.78,175.2,21~30,"91,000",1993,조원로22길
 서울특별시 관악구 신림동,단독,264.45,195.7,1~10,"88,400",0,남부순환로151길
 서울특별시 관악구 신림동,단독,504.57,289.6,21~30,"120,000",0,조원로22길
