시군구,주택유형,연면적(m2),대지면적(m2),계약일,거래금액(만원),건축년도,도로명
 서울특별시 강남구 개포동,다가구,639.2,284.5,21~30,"180,000",1996,개포로38길
 서울특별시 강남구 논현동,다가구,409.18,208.9,11~20,"197,000",1997,논현로124길
 서울특별시 강남구 논현동,다가구,503.08,225.1,11~20,"230,000",1988,
 서울특별시 강남구 논현동,다가구,479.6,230.3,21~30,"230,000",1994,학동로14길
 서울특별시 강남구 논현동,다가구,534.76,249.2,1~10,"255,000",1994,봉은사로37길
 서울특별시 강남구 논현동,다가구,637.58,265.1,1~10,"273,000",1995,학동로12길
 서울특별시 강남구 도곡동,단독,92.04,90.5,21~30,"66,000",1979,도곡로4길
 서울특별시 강남구 일원동,다가구,297.81,157.6,1~10,"114,500",1995,광평로7길
 서울특별시 강남구 일원동,다가구,294.9,198,1~10,"115,000",1986,개포로138길
 서울특별시 강남구 일원동,다가구,423,204.1,1~10,"160,000",1987,일원로3길
 서울특별시 강남구 일원동,다가구,416.91,210.6,1~10,"148,000",1996,
 서울특별시 강남구 일원동,단독,268.79,201,21~30,"123,000",1988,양재대로43길
 서울특별시 강동구 길동,다가구,182.34,108.3,1~10,"64,500",1989,천호대로177길
 서울특별시 강동구 길동,다가구,351.61,172,11~20,"91,000",1997,명일로
 서울특별시 강동구 길동,단독,381.61,183.8,21~30,"109,500",1985,
 서울특별시 강동구 상일동,단독,249.96,219.2,11~20,"110,000",1988,상암로81길
 서울특별시 강동구 성내동,다가구,205.68,118,1~10,"52,700",1991,천호대로168길
 서울특별시 강동구 성내동,단독,172.23,111,21~30,"45,700",1988,양재대로101길
 서울특별시 강동구 성내동,단독,170.04,112,21~30,"44,200",1991,천호대로168라길
 서울특별시 강동구 성내동,단독,247.05,166.2,11~20,"70,000",1988,풍성로51길
 서울특별시 강동구 성내동,단독,242.73,166.5,11~20,"75,000",1988,풍성로51길
 서울특별시 강동구 성내동,단독,164,171.9,1~10,"81,500",1982,양재대로97길
 서울특별시 강동구 암사동,단독,246.6,171.7,21~30,"75,500",1983,구천면로47나길
 서울특별시 강동구 암사동,단독,247.14,177.1,21~30,"83,000",1990,구천면로47길
 서울특별시 강동구 천호동,다가구,156.6,89,11~20,"37,800",1994,천중로18길
 서울특별시 강동구 천호동,다가구,179.2,99,21~30,"45,000",1996,구천면로33길
 서울특별시 강동구 천호동,단독,123.12,83,21~30,"29,800",1990,성안로31가길
 서울특별시 강동구 천호동,단독,51.8,109,11~20,"39,600",1966,구천면로35길
 서울특별시 강동구 천호동,단독,183.66,119,1~10,"55,500",1987,상암로
 서울특별시 강동구 천호동,단독,184.67,126,21~30,"59,000",1988,상암로4길
 서울특별시 강동구 천호동,단독,192.15,131,11~20,"53,000",1988,구천면로42길
 서울특별시 강동구 천호동,단독,207.63,135.7,21~30,"65,400",1989,천중로11길
 서울특별시 강동구 천호동,단독,220.5,149.2,21~30,"69,900",1989,상암로4길
 서울특별시 강동구 천호동,단독,74.91,152,21~30,"85,000",1963,올림픽로72길
 서울특별시 강동구 천호동,단독,240.73,155.1,1~10,"61,240",1986,양재대로127길
 서울특별시 강동구 천호동,단독,138.88,165.9,1~10,"85,000",1979,상암로
 서울특별시 강동구 천호동,단독,243.11,172.5,1~10,"107,120",1980,상암로
 서울특별시 강동구 천호동,단독,294.33,199,11~20,"84,000",1990,천중로16길
 서울특별시 강동구 천호동,단독,266.95,225,11~20,"90,000",1982,천중로43길
 서울특별시 강북구 미아동,다가구,133.43,83,21~30,"34,500",1994,오패산로30가길
 서울특별시 강북구 미아동,다가구,149.69,96,21~30,"40,500",1994,오패산로
 서울특별시 강북구 미아동,다가구,183.5,109,11~20,"38,000",1992,솔샘로
 서울특별시 강북구 미아동,다가구,197.31,116.7,21~30,"45,890",1981,도봉로34길
 서울특별시 강북구 미아동,다가구,205.02,122,21~30,"53,750",1991,솔샘로65길
 서울특별시 강북구 미아동,단독,43.4,50,1~10,"24,500",1967,오현로6길
 서울특별시 강북구 미아동,단독,42.19,79,11~20,"15,000",1985,인수봉로6길
 서울특별시 강북구 미아동,단독,66.24,91.2,1~10,"31,000",1973,
 서울특별시 강북구 미아동,단독,50.08,96,11~20,"29,000",1985,삼양로60길
 서울특별시 강북구 미아동,단독,85.79,105.5,1~10,"40,000",1968,
 서울특별시 강북구 미아동,단독,88.49,118,21~30,"43,500",1981,도봉로34길
 서울특별시 강북구 미아동,단독,72.14,129,21~30,"31,000",1985,
 서울특별시 강북구 미아동,단독,164.12,138.5,21~30,"56,560",1974,솔매로36길
 서울특별시 강북구 미아동,단독,145.55,326.3,1~10,"147,000",1971,솔매로41길
 서울특별시 강북구 번동,다가구,133.09,78.6,11~20,"26,300",1992,한천로123길
 서울특별시 강북구 번동,다가구,256.68,153.4,21~30,"50,000",2001,도봉로98길
 서울특별시 강북구 번동,단독,64.43,119,21~30,"23,000",1966,덕릉로40다길
 서울특별시 강북구 번동,단독,120.76,139.2,1~10,"83,500",1971,한천로
 서울특별시 강북구 수유동,다가구,160.14,90.2,1~10,"35,000",1991,삼양로74다길
 서울특별시 강북구 수유동,다가구,179.1,116,1~10,"39,900",1995,화계사1나길
 서울특별시 강북구 수유동,다가구,389,165,21~30,"57,000",1994,노해로26길
 서울특별시 강북구 수유동,다가구,257.33,169,11~20,"70,000",2002,한천로166길
 서울특별시 강북구 수유동,다가구,355.48,175,1~10,"71,000",1989,인수봉로56길
 서울특별시 강북구 수유동,다가구,349.31,182,21~30,"66,500",1993,인수봉로56길
 서울특별시 강북구 수유동,다가구,298.8,191.1,1~10,"62,000",1995,수유로23가길
 서울특별시 강북구 수유동,단독,44.47,65,1~10,"12,000",1971,삼각산로22길
 서울특별시 강북구 수유동,단독,49.58,84,11~20,"29,210",1969,
 서울특별시 강북구 수유동,단독,51.67,90,11~20,"24,000",1970,삼양로107길
 서울특별시 강북구 수유동,단독,49.32,96,21~30,"25,000",1967,노해로
 서울특별시 강북구 수유동,단독,72.4,119,21~30,"36,000",1972,
 서울특별시 강북구 수유동,단독,100.17,119,1~10,"32,000",1970,인수봉로81길
 서울특별시 강북구 수유동,단독,90.71,125,21~30,"41,000",1981,도봉로101길
 서울특별시 강북구 수유동,단독,58.98,126,21~30,"25,840",1970,4.19로21길
 서울특별시 강북구 수유동,단독,52.4,129,21~30,"26,800",1966,인수봉로84길
 서울특별시 강북구 수유동,단독,73.62,136,21~30,"41,000",1972,삼양로124길
 서울특별시 강북구 수유동,단독,101.25,136.9,1~10,"43,000",1974,도봉로95길
 서울특별시 강북구 수유동,단독,131.4,138.5,11~20,"37,800",1983,삼양로136길
 서울특별시 강북구 수유동,단독,210.8,142,21~30,"47,300",1989,삼양로119길
 서울특별시 강북구 수유동,단독,173.87,152,1~10,"43,000",1976,삼각산로20길
 서울특별시 강북구 수유동,단독,214.68,162,11~20,"61,000",1977,삼양로118길
 서울특별시 강북구 수유동,단독,88.46,165,1~10,"49,500",1974,
 서울특별시 강북구 수유동,단독,231.84,165,1~10,"64,000",1984,수유로
 서울특별시 강북구 수유동,단독,164.03,169,11~20,"63,700",1977,
 서울특별시 강북구 수유동,단독,96.06,172,11~20,"25,000",1975,삼양로87길
 서울특별시 강북구 수유동,단독,205.36,172,1~10,"47,800",1973,인수봉로55길
 서울특별시 강북구 수유동,단독,244.05,193.1,1~10,"76,000",1986,
 서울특별시 강북구 수유동,단독,309.23,372,11~20,"114,000",1983,노해로27길
 서울특별시 강북구 수유동,단독,301.04,403,1~10,"125,000",2005,4.19로23길
 서울특별시 강서구 공항동,다가구,479.85,165.4,1~10,"121,000",2003,송정로1길
 서울특별시 강서구 공항동,단독,243.12,165.4,1~10,"75,500",1988,방화대로7가길
 서울특별시 강서구 공항동,단독,246.78,165.5,21~30,"77,300",1988,방화대로7가길
 서울특별시 강서구 공항동,단독,231.81,165.8,21~30,"66,500",1987,남부순환로11길
 서울특별시 강서구 등촌동,다가구,397.08,178.8,21~30,"109,500",1998,공항대로58가길
 서울특별시 강서구 등촌동,단독,362.8,150.4,21~30,"82,500",1992,공항대로53길
 서울특별시 강서구 등촌동,단독,222.79,152,1~10,"71,300",1989,공항대로59가길
 서울특별시 강서구 등촌동,단독,116.96,154.4,1~10,"64,850",1976,
 서울특별시 강서구 등촌동,단독,114.12,267.1,11~20,"104,000",1977,
 서울특별시 강서구 화곡동,다가구,137.1,90.3,21~30,"33,000",1993,까치산로18길
 서울특별시 강서구 화곡동,다가구,180.66,120.5,21~30,"51,000",1990,곰달래로33길
 서울특별시 강서구 화곡동,다가구,274.06,140.4,1~10,"69,000",1993,월정로
 서울특별시 강서구 화곡동,다가구,247.5,140.7,1~10,"67,200",1991,강서로12길
 서울특별시 강서구 화곡동,다가구,249.93,148.4,11~20,"40,400",1991,곰달래로35길
 서울특별시 강서구 화곡동,다가구,149.94,155,11~20,"61,300",1993,강서로5라길
 서울특별시 강서구 화곡동,다가구,242.1,162,1~10,"57,580",1989,등촌로13나길
 서울특별시 강서구 화곡동,다가구,254.11,162.6,21~30,"69,500",1987,곰달래로53길
 서울특별시 강서구 화곡동,다가구,299.97,164,11~20,"46,380",1995,등촌로13자길
 서울특별시 강서구 화곡동,다가구,421.7,206.7,21~30,"89,000",1993,화곡로31가길
 서울특별시 강서구 화곡동,다가구,608.87,246.1,1~10,"120,000",1998,강서로33길
 서울특별시 강서구 화곡동,다가구,327.1,287.9,21~30,"89,000",1994,가로공원로82길
 서울특별시 강서구 화곡동,다가구,656.96,297.8,1~10,"113,000",1997,월정로28가길
 서울특별시 강서구 화곡동,단독,46.94,89,21~30,"25,000",1971,까치산로18나길
 서울특별시 강서구 화곡동,단독,146.87,100,21~30,"21,000",1984,까치산로18길
 서울특별시 강서구 화곡동,단독,151.2,106.2,11~20,"43,200",1989,강서로31길
 서울특별시 강서구 화곡동,단독,184.36,108.5,11~20,"47,700",1991,
 서울특별시 강서구 화곡동,단독,187.83,116.9,1~10,"34,500",1991,곰달래로31다길
 서울특별시 강서구 화곡동,단독,183.13,120,1~10,"50,600",1989,곰달래로55길
 서울특별시 강서구 화곡동,단독,178.2,120.6,1~10,"37,200",1988,
 서울특별시 강서구 화곡동,단독,187.74,125.4,1~10,"49,300",1989,강서로27길
 서울특별시 강서구 화곡동,단독,108.36,130.25,21~30,"49,000",1983,곰달래로49길
 서울특별시 강서구 화곡동,단독,89.95,133.8,11~20,"39,950",1977,곰달래로35길
 서울특별시 강서구 화곡동,단독,197.64,138.1,21~30,"56,000",1988,화곡로19길
 서울특별시 강서구 화곡동,단독,94.21,161.5,11~20,"39,320",1978,등촌로13자길
