시군구,주택유형,연면적(m2),대지면적(m2),계약일,거래금액(만원),건축년도,도로명
 서울특별시 강남구 논현동,단독,283.77,232,11~20,"227,000",1983,학동로20길
 서울특별시 강남구 도곡동,단독,249.33,208.4,21~31,"150,000",1988,논현로34길
 서울특별시 강남구 삼성동,다가구,418.6,199.5,21~31,"202,000",1996,봉은사로57길
 서울특별시 강남구 삼성동,단독,218.88,362.7,11~20,"294,800",1983,삼성로120길
 서울특별시 강남구 신사동,다가구,199.8,172.1,11~20,"88,000",1992,강남대로158길
 서울특별시 강남구 일원동,단독,249.76,192.6,11~20,"108,000",1986,개포로130길
 서울특별시 강남구 청담동,단독,130.84,202,11~20,"183,000",1977,
 서울특별시 강남구 청담동,단독,164.39,376.3,1~10,"470,360",1974,영동대로138길
 서울특별시 강동구 고덕동,단독,247.41,189.2,11~20,"77,500",1989,아리수로72길
 서울특별시 강동구 길동,다가구,532.08,222.4,1~10,"152,500",1997,진황도로49길
 서울특별시 강동구 길동,단독,169.74,172.3,1~10,"80,000",1978,양재대로122길
 서울특별시 강동구 길동,단독,320.55,252.9,1~10,"99,000",1991,명일로27길
 서울특별시 강동구 성내동,단독,249.24,176.1,11~20,"92,750",1986,
 서울특별시 강동구 성내동,단독,230.76,210,1~10,"138,600",1982,천호대로162길
 서울특별시 강동구 암사동,다가구,96.8,95.8,21~31,"38,000",1972,구천면로47길
 서울특별시 강동구 암사동,단독,201.51,131.9,11~20,"58,300",1987,상암로21길
 서울특별시 강동구 암사동,단독,262.86,162.6,1~10,"80,500",1993,상암로4가길
 서울특별시 강동구 암사동,단독,173.7,217.2,21~31,"80,000",1983,
 서울특별시 강동구 천호동,다가구,212.89,139,1~10,"60,000",1989,올림픽로71길
 서울특별시 강동구 천호동,다가구,381.01,164.3,1~10,"84,000",1997,상암로35길
 서울특별시 강동구 천호동,단독,97.2,105,1~10,"38,500",1978,
 서울특별시 강동구 천호동,단독,202.5,135.6,1~10,"51,500",1985,상암로4길
 서울특별시 강동구 천호동,단독,274.23,174.7,1~10,"83,500",1996,올림픽로87길
 서울특별시 강동구 천호동,단독,483.47,182.6,21~31,"118,000",1989,양재대로133길
 서울특별시 강북구 미아동,다가구,177.55,109,1~10,"49,400",1994,도봉로10다길
 서울특별시 강북구 미아동,다가구,194.51,112.4,1~10,"47,000",1993,도봉로76가길
 서울특별시 강북구 미아동,다가구,282.28,165,1~10,"60,600",1996,오패산로60길
 서울특별시 강북구 미아동,단독,30.28,64,1~10,"17,100",1970,
 서울특별시 강북구 미아동,단독,54.68,83,1~10,"31,700",1969,솔샘로59길
 서울특별시 강북구 미아동,단독,143.64,96,11~20,"37,700",1984,
 서울특별시 강북구 미아동,단독,66.84,106,1~10,"52,000",1983,삼양로30길
 서울특별시 강북구 미아동,단독,73.06,106,21~31,"25,300",1971,삼양로41길
 서울특별시 강북구 미아동,단독,36.36,115,11~20,"30,600",1983,솔샘로47나길
 서울특별시 강북구 미아동,단독,80.23,119,1~10,"50,000",1972,
 서울특별시 강북구 미아동,단독,135.08,119,1~10,"45,000",1973,
 서울특별시 강북구 미아동,단독,109,129.3,11~20,"50,000",1970,도봉로34길
 서울특별시 강북구 미아동,단독,44.1,136,11~20,"59,000",1966,
 서울특별시 강북구 미아동,단독,150.84,164.3,1~10,"74,550",1970,
 서울특별시 강북구 번동,다가구,179.84,108.8,1~10,"42,500",1996,덕릉로
 서울특별시 강북구 번동,단독,263.44,261.5,11~20,"96,000",1981,도봉로78길
 서울특별시 강북구 수유동,다가구,142.19,90.2,21~31,"33,500",1992,노해로33가길
 서울특별시 강북구 수유동,다가구,149.52,94.9,1~10,"32,200",1993,삼양로80가길
 서울특별시 강북구 수유동,다가구,221.73,146.2,21~31,"48,800",1990,수유로23가길
 서울특별시 강북구 수유동,다가구,447.78,206,11~20,"81,000",1997,한천로144길
 서울특별시 강북구 수유동,단독,82.58,126,1~10,"36,300",1973,
 서울특별시 강북구 수유동,단독,174.84,126,1~10,"39,300",1988,노해로19길
 서울특별시 강북구 수유동,단독,132.96,135.7,1~10,"40,200",1983,
 서울특별시 강북구 수유동,단독,149.84,137.2,1~10,"40,670",1984,
 서울특별시 강북구 수유동,단독,106.25,139,21~31,"36,900",1973,
 서울특별시 강북구 수유동,단독,143.38,139,11~20,"37,850",1973,
 서울특별시 강북구 수유동,단독,111.77,149,21~31,"44,100",1973,
 서울특별시 강북구 수유동,단독,147.58,149,1~10,"54,000",1982,
 서울특별시 강북구 수유동,단독,205.92,150.4,11~20,"56,200",1988,
 서울특별시 강북구 수유동,단독,200.49,161,11~20,"47,600",1979,삼양로123길
 서울특별시 강북구 수유동,단독,134.55,175,1~10,"41,900",2005,인수봉로79길
 서울특별시 강북구 수유동,단독,101.69,182,11~20,"49,500",1973,
 서울특별시 강북구 수유동,단독,164.59,211.9,1~10,"77,000",1975,노해로7길
 서울특별시 강북구 수유동,단독,313.93,305,21~31,"101,200",1986,
 서울특별시 강서구 가양동,단독,49.59,112,1~10,"26,350",1969,양천로47가길
 서울특별시 강서구 개화동,단독,130.5,265,1~10,"59,500",1984,개화동로19길
 서울특별시 강서구 내발산동,단독,199.02,165.3,21~31,"50,800",1983,강서로45길
 서울특별시 강서구 등촌동,단독,58.58,76.7,1~10,"44,800",1971,등촌로57길
 서울특별시 강서구 방화동,단독,51.96,33,11~20,"18,800",1971,개화동로29길
 서울특별시 강서구 화곡동,다가구,167.67,112.7,11~20,"36,500",1991,가로공원로89길
 서울특별시 강서구 화곡동,다가구,253.37,113,11~20,"43,000",1992,등촌로13바길
 서울특별시 강서구 화곡동,다가구,199.8,142,1~10,"53,300",1992,
 서울특별시 강서구 화곡동,다가구,455.6,173.6,11~20,"130,000",1991,국회대로7길
 서울특별시 강서구 화곡동,단독,196.4,132,1~10,"42,500",1991,
 서울특별시 강서구 화곡동,단독,199.89,138,21~31,"58,300",1990,월정로30길
 서울특별시 강서구 화곡동,단독,230.25,154.7,11~20,"56,100",1989,가로공원로
 서울특별시 강서구 화곡동,단독,89.39,207.8,21~31,"37,700",1974,곰달래로26길
 서울특별시 관악구 남현동,다가구,267.04,148.7,11~20,"87,000",1992,남현6길
 서울특별시 관악구 남현동,단독,131.93,164.2,1~10,"83,000",1976,남현2길
 서울특별시 관악구 봉천동,다가구,254.5,129.6,1~10,"71,000",1991,인헌1길
 서울특별시 관악구 봉천동,다가구,241.17,132,11~20,"57,500",1993,인헌13길
 서울특별시 관악구 봉천동,다가구,203.76,136,21~31,"47,900",1990,은천로35바길
 서울특별시 관악구 봉천동,다가구,249.78,158.7,11~20,"66,000",1991,봉천로
 서울특별시 관악구 봉천동,단독,35.27,50,11~20,"16,000",1970,봉천로13길
 서울특별시 관악구 봉천동,단독,129.96,89.3,1~10,"41,000",1990,봉천로25길
 서울특별시 관악구 봉천동,단독,154.37,124.3,21~31,"50,700",1978,쑥고개로
 서울특별시 관악구 봉천동,단독,181.62,128,1~10,"53,250",1985,인헌13길
 서울특별시 관악구 봉천동,단독,191.23,132,1~10,"53,000",1977,인헌13길
 서울특별시 관악구 봉천동,단독,199.09,132.2,1~10,"62,000",1985,쑥고개로22길
 서울특별시 관악구 봉천동,단독,82.45,143.5,21~31,"48,000",1974,봉천로21길
 서울특별시 관악구 봉천동,단독,130.25,165.8,11~20,"70,000",1978,봉천로
 서울특별시 관악구 봉천동,단독,239.21,172.3,1~10,"72,300",1985,인헌13길
 서울특별시 관악구 봉천동,단독,131.57,178.7,11~20,"71,500",1978,봉천로
 서울특별시 관악구 봉천동,단독,247.05,182,21~31,"62,000",1990,은천로35바길
 서울특별시 관악구 봉천동,단독,261.67,192,11~20,"79,000",1976,봉천로13나길
 서울특별시 관악구 봉천동,단독,227.41,248,11~20,"82,500",1970,은천로35마길
 서울특별시 관악구 신림동,다가구,112.41,81.3,11~20,"19,200",1991,신원로3마길
 서울특별시 관악구 신림동,다가구,252.24,119,21~31,"53,750",1996,문성로16나길
 서울특별시 관악구 신림동,다가구,317.58,142,11~20,"60,000",2007,신림로17길
 서울특별시 관악구 신림동,다가구,266.22,175.5,1~10,"82,750",1994,남부순환로151길
 서울특별시 관악구 신림동,다가구,111.83,178.2,21~31,"62,000",1976,남부순환로142길
 서울특별시 관악구 신림동,다가구,296.08,184,1~10,"72,000",1992,난곡로34길
 서울특별시 관악구 신림동,다가구,342.81,197.7,1~10,"104,500",2002,남부순환로157길
 서울특별시 관악구 신림동,단독,128.35,88,1~10,"16,000",1989,난곡로31길
 서울특별시 관악구 신림동,단독,58.94,116,21~31,"23,000",1971,양산길
 서울특별시 관악구 신림동,단독,177.12,127,1~10,"36,500",1988,난우10가길
 서울특별시 관악구 신림동,단독,174.91,130,21~31,"49,500",1987,문성로29길
 서울특별시 관악구 신림동,단독,213.9,140.2,21~31,"56,700",1989,남부순환로153길
 서울특별시 관악구 신림동,단독,163.57,162,1~10,"48,000",1975,법원단지13길
 서울특별시 관악구 신림동,단독,178.84,164.2,11~20,"88,500",1978,난곡로64가길
 서울특별시 관악구 신림동,단독,245.73,165.8,21~31,"75,000",1983,조원로18길
 서울특별시 관악구 신림동,단독,164.63,175,1~10,"74,100",1976,난곡로34길
