시군구,주택유형,연면적(㎡),대지면적(㎡),계약일,거래금액(만원),건축년도,도로명
 서울특별시 강남구 개포동,다가구,500.66,230.2,11~20,"161,000",1995,논현로8길
 서울특별시 강남구 개포동,다가구,500.66,230.2,11~20,"161,000",1995,논현로8길
 서울특별시 강남구 논현동,다가구,337.71,165.9,11~20,"180,000",1996,봉은사로29길
 서울특별시 강남구 논현동,다가구,669.01,204.8,1~10,"290,000",2002,논현로111길
 서울특별시 강남구 논현동,다가구,659.48,297.1,21~30,"310,000",1996,학동로19길
 서울특별시 강남구 논현동,다가구,648.73,334.6,11~20,"385,000",1997,강남대로146길
 서울특별시 강남구 논현동,단독,646.71,279.7,11~20,"246,500",1997,강남대로118길
 서울특별시 강남구 대치동,단독,133.88,178.9,1~10,"187,000",1977,선릉로62길
 서울특별시 강남구 도곡동,다가구,510.54,228.5,11~20,"173,000",1996,강남대로54길
 서울특별시 강남구 삼성동,단독,490.32,211.7,21~30,"265,000",2001,테헤란로77길
 서울특별시 강남구 삼성동,단독,272.25,297.7,1~10,"315,000",1985,삼성로120길
 서울특별시 강남구 신사동,다가구,178.89,109.9,1~10,"136,000",1995,논현로159길
 서울특별시 강남구 신사동,다가구,299.97,217.9,1~10,"150,000",1995,도산대로35길
 서울특별시 강남구 신사동,다가구,299.97,217.9,1~10,"150,000",1995,도산대로35길
 서울특별시 강남구 역삼동,단독,305.4,121.8,11~20,"136,478",1984,논현로63길
 서울특별시 강남구 역삼동,단독,305.52,311.1,21~30,"230,000",1980,도곡로25길
 서울특별시 강남구 역삼동,단독,997.5,325.2,11~20,"513,522",1987,논현로
 서울특별시 강남구 역삼동,단독,291.82,337.4,21~30,"245,000",1986,봉은사로48길
 서울특별시 강남구 일원동,단독,262.08,197.3,1~10,"110,000",1988,개포로136길
 서울특별시 강남구 청담동,다가구,531.9,271.3,11~20,"385,000",1989,삼성로149길
 서울특별시 강남구 청담동,단독,133.79,167,11~20,"139,300",1978,도산대로78길
