시군구,주택유형,연면적(m2),대지면적(m2),계약일,거래금액(만원),건축년도,도로명
 서울특별시 강남구 개포동,단독,173.8,183.2,11~20,"124,000",1982,언주로6길
 서울특별시 강남구 논현동,다가구,383.08,175.5,21~31,"92,500",1993,학동로4길
 서울특별시 강남구 논현동,다가구,345.56,195.2,11~20,"70,000",1990,선릉로141길
 서울특별시 강남구 논현동,다가구,452,203.6,21~31,"120,000",2002,강남대로128길
 서울특별시 강남구 논현동,단독,161.35,217.2,21~31,"114,000",1978,선릉로145길
 서울특별시 강남구 대치동,다가구,530.58,259.3,21~31,"150,000",1995,삼성로67길
 서울특별시 강남구 대치동,단독,145.8,97.4,11~20,"58,900",1987,삼성로72길
 서울특별시 강남구 대치동,단독,160.06,202,1~10,"121,000",1978,
 서울특별시 강남구 삼성동,다가구,524.52,274.8,21~31,"156,000",2000,봉은사로57길
 서울특별시 강남구 삼성동,단독,186.37,200.3,1~10,"75,000",1972,선릉로116길
 서울특별시 강남구 삼성동,단독,161.74,522.2,1~10,"310,000",1993,봉은사로109길
 서울특별시 강남구 신사동,다가구,377.13,188.5,11~20,"98,000",1995,압구정로10길
 서울특별시 강남구 신사동,단독,64.79,345.6,21~31,"205,000",1968,도산대로13길
 서울특별시 강남구 역삼동,다가구,193.03,91.1,1~10,"32,500",1991,논현로65길
 서울특별시 강남구 역삼동,다가구,459.8,220,1~10,"103,900",1997,논현로68길
 서울특별시 강남구 역삼동,단독,119.04,89.4,21~31,"61,250",1977,언주로67길
 서울특별시 강동구 고덕동,다가구,249.97,184.4,11~20,"70,000",1988,동남로82길
 서울특별시 강동구 고덕동,다가구,258.5,189.7,11~20,"70,000",1988,아리수로82길
 서울특별시 강동구 고덕동,다가구,325.02,218.4,21~31,"80,000",1987,동남로83길
 서울특별시 강동구 고덕동,다가구,452.34,227.9,1~10,"93,000",1988,아리수로64길
 서울특별시 강동구 길동,다가구,290.22,172,21~31,"41,500",1987,명일로27길
 서울특별시 강동구 둔촌동,단독,72.73,99,1~10,"28,000",1975,풍성로65길
 서울특별시 강동구 명일동,다가구,209.25,136.2,11~20,"40,700",1988,양재대로130길
 서울특별시 강동구 명일동,단독,315.25,219.7,11~20,"71,500",1986,
 서울특별시 강동구 상일동,다가구,246.96,173.2,21~31,"57,800",1988,구천면로98길
 서울특별시 강동구 성내동,다가구,199.96,129,11~20,"38,500",1993,올림픽로60길
 서울특별시 강동구 성내동,다가구,179.8,168.8,11~20,"39,500",1982,성안로
 서울특별시 강동구 성내동,다가구,419.79,208.5,11~20,"73,000",1996,풍성로54길
 서울특별시 강동구 성내동,단독,153.33,105,21~31,"32,000",1990,풍성로35길
 서울특별시 강동구 성내동,단독,26.45,146,21~31,"19,800",1963,풍성로41길
