시군구,주택유형,연면적(m2),대지면적(m2),계약일,거래금액(만원),건축년도,도로명
 서울특별시 강남구 논현동,다가구,538.72,254.6,21~31,"249,000",1996,도산대로8길
 서울특별시 강남구 논현동,다가구,229.38,348.3,11~20,"269,000",1975,봉은사로47길
 서울특별시 강남구 대치동,다가구,621.35,279.4,21~31,"315,000",1995,역삼로70길
 서울특별시 강남구 대치동,단독,144.16,241.5,21~31,"192,000",1973,삼성로75길
 서울특별시 강남구 삼성동,단독,165.13,218,11~20,"210,000",1972,선릉로116길
 서울특별시 강남구 역삼동,다가구,432.68,269,1~10,"195,000",2001,테헤란로5길
 서울특별시 강남구 역삼동,단독,259.76,230.8,11~20,"198,700",1983,테헤란로51길
 서울특별시 강남구 율현동,단독,192.37,296,21~31,"125,000",1989,밤고개로24길
 서울특별시 강남구 율현동,단독,198.72,319,21~31,"125,000",1992,밤고개로24길
 서울특별시 강남구 일원동,단독,406.76,204.1,21~31,"153,000",1986,일원로3길
 서울특별시 강남구 자곡동,단독,199.1,313,11~20,"160,000",1992,
 서울특별시 강남구 청담동,다가구,498.02,216.2,11~20,"235,000",1995,도산대로68길
 서울특별시 강동구 고덕동,단독,245.7,189.1,21~31,"77,000",1988,상일로23길
 서울특별시 강동구 길동,단독,89,89.3,21~31,"34,000",1981,천중로38가길
 서울특별시 강동구 길동,단독,180,165.6,21~31,"100,000",1983,천중로38가길
 서울특별시 강동구 둔촌동,다가구,260.62,109,1~10,"50,000",1993,진황도로
 서울특별시 강동구 둔촌동,다가구,655.01,264.1,11~20,"149,700",1996,명일로
 서울특별시 강동구 둔촌동,단독,180.9,196.5,21~31,"71,000",1983,풍성로61길
 서울특별시 강동구 명일동,다가구,554.92,238,11~20,"140,000",1996,양재대로145길
 서울특별시 강동구 상일동,다가구,384.2,187.49,11~20,"92,000",1988,상일로3길
 서울특별시 강동구 상일동,다가구,373.78,225.8,1~10,"169,000",1985,상일로
 서울특별시 강동구 상일동,단독,249.93,184.9,11~20,"93,000",1988,상일로5길
 서울특별시 강동구 성내동,다가구,294.48,116,11~20,"78,500",1992,천호대로162길
 서울특별시 강동구 성내동,다가구,245.22,138,1~10,"66,500",1988,천호옛6길
 서울특별시 강동구 성내동,다가구,329.44,202.9,11~20,"99,500",1993,강동대로55길
 서울특별시 강동구 성내동,단독,134.19,90,1~10,"39,000",1989,천호옛길
 서울특별시 강동구 성내동,단독,149.04,96,11~20,"50,750",1993,올림픽로60길
 서울특별시 강동구 성내동,단독,154.16,112,21~31,"55,400",1985,천호옛8길
 서울특별시 강동구 암사동,다가구,383.06,198.7,11~20,"125,000",1992,상암로5길
 서울특별시 강동구 암사동,단독,232.2,216.1,21~31,"107,000",1983,고덕로10길
 서울특별시 강동구 암사동,단독,117.92,346,1~10,"107,000",1980,아리수로25가길
 서울특별시 강동구 천호동,다가구,336.57,166,21~31,"96,000",1997,구천면로42길
 서울특별시 강동구 천호동,단독,171.18,132,21~31,"47,000",1989,성안로31라길
 서울특별시 강동구 천호동,단독,191.46,132,11~20,"44,000",1986,천중로29길
 서울특별시 강동구 천호동,단독,349.44,166,11~20,"79,500",1993,구천면로68가길
 서울특별시 강동구 천호동,단독,118.08,169.6,21~31,"72,000",1980,천중로
 서울특별시 강동구 천호동,단독,246.6,172.6,21~31,"72,500",1986,구천면로41길
 서울특별시 강동구 천호동,단독,199.89,175,1~10,"52,500",1984,진황도로27라길
 서울특별시 강동구 천호동,단독,146.87,175.2,21~31,"60,000",1978,상암로4길
 서울특별시 강북구 미아동,다가구,132.5,77,11~20,"26,000",1992,솔샘로
 서울특별시 강북구 미아동,다가구,162,91.2,1~10,"35,000",1991,솔매로41길
 서울특별시 강북구 미아동,다가구,155.1,96,1~10,"40,600",1994,삼양로16길
 서울특별시 강북구 미아동,다가구,172.63,108.4,21~31,"50,000",1993,
 서울특별시 강북구 미아동,다가구,179.93,109,11~20,"42,900",1996,도봉로16길
 서울특별시 강북구 미아동,다가구,214.78,125.6,1~10,"57,000",1995,도봉로76길
 서울특별시 강북구 미아동,다가구,262.51,126,11~20,"33,750",2006,인수봉로6길
 서울특별시 강북구 미아동,다가구,339.36,145,11~20,"70,000",1997,오패산로38길
 서울특별시 강북구 미아동,단독,27.07,43,21~31,"12,100",1968,솔샘로35길
 서울특별시 강북구 미아동,단독,44.07,69.8,21~31,"17,600",1967,덕릉로28길
 서울특별시 강북구 미아동,단독,48.76,72.4,11~20,"20,000",1969,도봉로61길
 서울특별시 강북구 미아동,단독,69.42,76.7,1~10,"23,000",1970,삼양로54마길
 서울특별시 강북구 미아동,단독,52.4,79,11~20,"30,500",1967,
 서울특별시 강북구 미아동,단독,52.4,79,21~31,"24,000",1967,
 서울특별시 강북구 미아동,단독,88,109,1~10,"43,000",1970,월계로7나길
 서울특별시 강북구 미아동,단독,81.69,112,11~20,"40,800",1974,
 서울특별시 강북구 미아동,단독,81.69,112,1~10,"40,800",1974,
 서울특별시 강북구 미아동,단독,90.51,119,1~10,"46,800",1974,월계로
 서울특별시 강북구 미아동,단독,150.72,125.3,11~20,"43,350",1973,
 서울특별시 강북구 미아동,단독,262.17,132.2,1~10,"72,000",1986,솔매로45길
 서울특별시 강북구 미아동,단독,205.01,165.6,11~20,"65,000",1975,도봉로34길
 서울특별시 강북구 미아동,단독,248.91,192,1~10,"65,000",1989,솔샘로64길
 서울특별시 강북구 미아동,단독,353.25,328,1~10,"115,800",1983,오현로9길
 서울특별시 강북구 번동,다가구,149.91,97.5,1~10,"35,000",1994,덕릉로
 서울특별시 강북구 번동,단독,42.41,77.4,1~10,"19,900",1970,덕릉로51가길
 서울특별시 강북구 번동,단독,73.72,90.9,11~20,"30,250",1970,한천로123가길
