시군구,주택유형,연면적(m2),대지면적(m2),계약일,거래금액(만원),건축년도,도로명
 서울특별시 강남구 개포동,단독,34.68,16.91,21~31,"7,500",1992,개포로31길
 서울특별시 강남구 논현동,다가구,404.9,196.7,21~31,"153,957",0,언주로136길
 서울특별시 강남구 논현동,다가구,534.2,236.1,1~10,"204,000",0,선릉로135길
 서울특별시 강남구 논현동,단독,379.57,179.3,11~20,"87,600",2000,학동로20길
 서울특별시 강남구 논현동,단독,682.9,254.4,1~10,"294,000",1994,선릉로135길
 서울특별시 강남구 논현동,단독,162.52,299.3,21~31,"100,000",1973,언주로141길
 서울특별시 강남구 대치동,다가구,358.39,179,21~31,"145,000",0,선릉로82길
 서울특별시 강남구 삼성동,단독,1217.25,429.8,1~10,"530,000",2000,봉은사로105길
 서울특별시 강남구 역삼동,다가구,623.2,409.2,1~10,"496,000",0,도곡로
 서울특별시 강남구 역삼동,단독,246.15,224.9,21~31,"200,000",1982,
 서울특별시 강남구 역삼동,단독,110.28,225.8,21~31,"179,000",0,언주로98길
 서울특별시 강남구 역삼동,단독,305.3,365.2,1~10,"249,000",1982,봉은사로24길
 서울특별시 강남구 율현동,단독,199.98,309,11~20,"133,000",0,밤고개로24길
 서울특별시 강남구 일원동,다가구,249.47,197.9,1~10,"124,500",0,양재대로51길
 서울특별시 강동구 고덕동,단독,247.23,181.3,11~20,"90,000",0,아리수로72길
 서울특별시 강동구 고덕동,단독,246.66,190.6,1~10,"87,000",0,동남로82길
 서울특별시 강동구 길동,단독,249.32,171.7,1~10,"68,500",1990,양재대로124길
 서울특별시 강동구 길동,단독,235.05,240,1~10,"98,700",1984,양재대로110길
 서울특별시 강동구 성내동,단독,77.39,116,21~31,"35,200",0,풍성로37길
 서울특별시 강동구 성내동,단독,362.41,164.9,1~10,"50,200",1998,양재대로91가길
 서울특별시 강동구 성내동,단독,373.86,181.9,21~31,"90,000",1997,양재대로101길
 서울특별시 강동구 성내동,단독,274.89,189.2,21~31,"81,510",1985,천호대로168길
 서울특별시 강동구 암사동,다가구,312.24,233,11~20,"107,500",0,상암로4길
 서울특별시 강동구 암사동,단독,249.75,172,21~31,"65,000",0,구천면로59길
 서울특별시 강동구 암사동,단독,168.3,226.6,1~10,"82,000",0,고덕로20마길
 서울특별시 강동구 암사동,단독,198.4,298,1~10,"89,500",1987,고덕로1길
 서울특별시 강동구 암사동,단독,196.9,330,21~31,"87,000",0,올림픽로107길
 서울특별시 강동구 천호동,다가구,149,102,21~31,"43,190",1993,구천면로29길
 서울특별시 강동구 천호동,다가구,286.19,132,21~31,"63,000",0,상암로35길
 서울특별시 강동구 천호동,다가구,337.44,145,21~31,"74,000",0,상암로27길
 서울특별시 강동구 천호동,단독,210.12,100,21~31,"40,000",1993,성안로31가길
 서울특별시 강동구 천호동,단독,255.66,110,11~20,"49,000",1992,성안로31길
 서울특별시 강동구 천호동,단독,196.35,112,1~10,"56,000",1993,천중로18길
 서울특별시 강동구 천호동,단독,172.2,119,1~10,"39,700",0,상암로
 서울특별시 강동구 천호동,단독,171.99,125.5,21~31,"36,000",0,
 서울특별시 강동구 천호동,단독,190.23,132,11~20,"50,000",0,성안로31길
 서울특별시 강동구 천호동,단독,227.16,152,21~31,"59,800",0,상암로27길
 서울특별시 강동구 천호동,단독,219.24,161,1~10,"61,000",1990,
