시군구,주택유형,연면적(m2),대지면적(m2),계약일,거래금액(만원),건축년도,도로명
 서울특별시 강남구 논현동,다가구,383.92,175.3,11~20,"140,000",2001,논현로123길
 서울특별시 강남구 논현동,다가구,567.13,241.2,11~20,"260,000",2005,
 서울특별시 강남구 논현동,다가구,324.86,262.4,1~10,"170,000",1994,선릉로141길
 서울특별시 강남구 논현동,단독,321.69,472.3,1~10,"356,000",1977,학동로7길
 서울특별시 강남구 도곡동,다가구,434.23,218,11~20,"159,900",1993,남부순환로379길
 서울특별시 강남구 신사동,단독,90.19,127.4,11~20,"111,500",1971,도산대로37길
 서울특별시 강남구 신사동,단독,129.5,174,1~10,"158,000",1983,논현로153길
 서울특별시 강남구 역삼동,단독,589.68,247.8,1~10,"200,000",1998,테헤란로51길
 서울특별시 강남구 역삼동,단독,390.36,690.9,11~20,"410,000",1984,봉은사로22길
 서울특별시 강남구 일원동,단독,270.29,204.3,21~31,"121,000",1986,개포로118길
 서울특별시 강남구 자곡동,단독,198.94,309,1~10,"165,000",1988,밤고개로12길
 서울특별시 강남구 청담동,단독,141.99,202.9,1~10,"165,700",1975,도산대로99길
 서울특별시 강동구 길동,다가구,331.04,173.5,21~31,"78,000",1987,양재대로115길
 서울특별시 강동구 길동,단독,249.93,169.4,21~31,"67,600",1989,천호대로197길
 서울특별시 강동구 길동,단독,249.57,178.3,1~10,"65,000",1991,양재대로124길
 서울특별시 강동구 길동,단독,609.72,196.4,1~10,"110,000",1992,양재대로124길
 서울특별시 강동구 둔촌동,다가구,401.41,175.2,11~20,"102,500",1997,풍성로63길
 서울특별시 강동구 둔촌동,단독,207.72,188.4,21~31,"75,000",1983,천호대로182길
 서울특별시 강동구 명일동,다가구,249.84,212.9,21~31,"64,000",1988,
 서울특별시 강동구 상일동,다가구,310.93,180.3,1~10,"78,700",1987,천호대로219나길
 서울특별시 강동구 상일동,단독,249.12,219.4,21~31,"80,000",1985,상암로81길
 서울특별시 강동구 성내동,단독,147.45,116,1~10,"59,500",1988,올림픽로
 서울특별시 강동구 성내동,단독,246.69,166.6,11~20,"65,000",1989,풍성로54길
 서울특별시 강동구 성내동,단독,247.93,171,1~10,"70,700",1990,풍성로41길
 서울특별시 강동구 암사동,다가구,189.24,127.2,21~31,"49,000",1988,고덕로20가길
 서울특별시 강동구 암사동,단독,98.98,84.1,21~31,"34,000",1984,고덕로20나길
 서울특별시 강동구 암사동,단독,170.48,109,21~31,"42,800",1988,암사길
 서울특별시 강동구 암사동,단독,176.7,112,21~31,"44,000",1989,
 서울특별시 강동구 암사동,단독,196.88,293,21~31,"75,700",1988,고덕로1길
 서울특별시 강동구 암사동,단독,131.24,372,1~10,"97,000",1980,아리수로25나길
 서울특별시 강동구 천호동,다가구,348.37,171.2,1~10,"78,000",1999,천중로15가길
 서울특별시 강동구 천호동,단독,490.06,63,21~31,"57,100",1995,
 서울특별시 강동구 천호동,단독,33.75,89,21~31,"32,400",1963,천호대로163길
 서울특별시 강동구 천호동,단독,66.64,109,21~31,"82,500",1970,
 서울특별시 강동구 천호동,단독,64.46,119,21~31,"86,500",1970,
 서울특별시 강동구 천호동,단독,269.68,119,21~31,"93,000",1996,
 서울특별시 강동구 천호동,단독,213.27,122,21~31,"97,100",1990,
 서울특별시 강동구 천호동,단독,357.3,122,21~31,"103,334",1991,
 서울특별시 강동구 천호동,단독,187.56,126,21~31,"55,000",1987,구천면로40길
