시군구,주택유형,연면적(m2),대지면적(m2),계약일,거래금액(만원),건축년도,도로명
 서울특별시 강남구 논현동,다가구,406.49,226.6,21~29,"160,000",1999,봉은사로29길
 서울특별시 강남구 논현동,단독,169.3,395.7,1~10,"382,825",1994,학동로19길
 서울특별시 강남구 논현동,단독,169.3,395.7,1~10,"384,000",1994,학동로19길
 서울특별시 강남구 삼성동,단독,309.27,227.2,1~10,"178,000",1988,삼성로115길
 서울특별시 강남구 역삼동,다가구,296.1,177.3,21~29,"78,000",1996,도곡로3길
 서울특별시 강남구 청담동,다가구,422.43,293.4,11~20,"290,000",1995,압구정로79길
 서울특별시 강남구 청담동,단독,479.17,177.7,11~20,"238,500",1991,삼성로149길
 서울특별시 강동구 고덕동,다가구,308.4,216.7,1~10,"94,000",1988,동남로83길
 서울특별시 강동구 고덕동,다가구,499.52,229.7,21~29,"95,000",1995,동남로85길
 서울특별시 강동구 길동,다가구,219.7,200.3,21~29,"112,000",1980,천중로52길
 서울특별시 강동구 길동,다가구,376.21,226.2,21~29,"162,000",2011,천호대로185길
 서울특별시 강동구 둔촌동,다가구,179.28,182,11~20,"108,000",1986,명일로10나길
 서울특별시 강동구 둔촌동,단독,129.45,166,21~29,"42,000",1978,명일로10나길
 서울특별시 강동구 둔촌동,단독,249.41,166.5,11~20,"69,800",1985,풍성로61길
 서울특별시 강동구 둔촌동,단독,202.72,197.9,11~20,"108,500",1980,풍성로63길
 서울특별시 강동구 명일동,단독,301.22,221,11~20,"106,300",1992,양재대로141길
 서울특별시 강동구 성내동,단독,147.96,132.4,11~20,"59,000",1983,천호대로
 서울특별시 강동구 성내동,단독,183.28,165.6,11~20,"72,500",1983,천호대로
 서울특별시 강동구 성내동,단독,212.04,200.5,21~29,"97,000",1984,성안로13길
 서울특별시 강동구 성내동,단독,249.66,202.8,11~20,"119,000",1986,성내로13길
 서울특별시 강동구 성내동,단독,244.73,226.5,21~29,"157,000",1982,양재대로101길
 서울특별시 강동구 암사동,단독,173.16,116.1,1~10,"47,250",1986,암사13길
 서울특별시 강동구 암사동,단독,190.89,128.6,21~29,"68,250",1986,상암로15길
 서울특별시 강동구 암사동,단독,220.29,142.7,1~10,"60,000",1986,암사13길
 서울특별시 강동구 암사동,단독,147.58,149.3,11~20,"42,000",1984,상암로15길
 서울특별시 강동구 암사동,단독,230.76,153.8,21~29,"76,000",1985,상암로15길
 서울특별시 강동구 암사동,단독,165.57,172.4,1~10,"70,100",1978,상암로
 서울특별시 강동구 암사동,단독,202.52,181.9,1~10,"93,500",1983,고덕로24길
 서울특별시 강동구 암사동,단독,329.8,200.8,1~10,"71,500",1991,구천면로47길
 서울특별시 강동구 암사동,단독,211.08,204.7,1~10,"105,400",1983,고덕로24길
 서울특별시 강동구 암사동,단독,415.91,211.4,21~29,"102,400",1998,상암로15길
 서울특별시 강동구 암사동,단독,117.15,329,21~29,"120,000",1980,아리수로25가길
 서울특별시 강동구 암사동,단독,127.71,347,1~10,"82,000",1982,올림픽로112길
 서울특별시 강동구 천호동,다가구,318.2,167.3,1~10,"78,000",1992,구천면로68길
 서울특별시 강동구 천호동,다가구,377.99,173.9,1~10,"106,000",1997,천중로39길
 서울특별시 강동구 천호동,단독,45.68,51.95,11~20,"20,075",1984,구천면로28길
 서울특별시 강동구 천호동,단독,60.76,125.7,1~10,"53,200",1971,천중로
 서울특별시 강동구 천호동,단독,191.34,129,11~20,"60,700",1986,상암로
 서울특별시 강동구 천호동,단독,154.27,142,1~10,"59,500",1977,천중로18길
 서울특별시 강동구 천호동,단독,177.1,169.2,1~10,"65,000",1983,천중로35길
 서울특별시 강북구 미아동,다가구,117.24,83,11~20,"25,000",1992,솔샘로59가길
 서울특별시 강북구 미아동,다가구,139.58,93,21~29,"35,700",1992,솔샘로64다길
 서울특별시 강북구 미아동,다가구,144.6,98,1~10,"34,550",2004,솔샘로
 서울특별시 강북구 미아동,다가구,194.51,112.4,1~10,"43,500",1993,도봉로76가길
 서울특별시 강북구 미아동,다가구,242.82,119,21~29,"46,000",1996,삼양로20나길
 서울특별시 강북구 미아동,다가구,227.55,129,21~29,"62,400",1992,월계로7가길
 서울특별시 강북구 미아동,다가구,356.07,169,21~29,"65,500",1994,오패산로58길
 서울특별시 강북구 미아동,단독,46.28,80.7,1~10,"24,000",1969,솔매로41길
 서울특별시 강북구 미아동,단독,91.07,122,11~20,"27,000",1966,숭인로7나길
 서울특별시 강북구 미아동,단독,91.07,122,1~10,"23,500",1966,숭인로7나길
 서울특별시 강북구 미아동,단독,151.24,131.2,21~29,"51,584",1975,
 서울특별시 강북구 미아동,단독,148.93,146.1,21~29,"60,000",1974,도봉로23길
