시군구,주택유형,연면적(m2),대지면적(m2),계약일,거래금액(만원),건축년도,도로명
 서울특별시 강남구 개포동,단독,173.01,117.1,21~31,"65,000",1988,개포로25길
 서울특별시 강남구 논현동,다가구,222.75,177.8,11~20,"121,000",1997,도산대로50길
 서울특별시 강남구 논현동,단독,214.11,198,1~10,"135,000",1984,도산대로30길
 서울특별시 강남구 신사동,단독,286.97,182.2,1~10,"168,800",2002,논현로151길
 서울특별시 강남구 역삼동,다가구,193.03,91.1,1~10,"54,500",1991,논현로65길
 서울특별시 강남구 역삼동,다가구,354.23,234.3,11~20,"110,000",1990,언주로71길
 서울특별시 강남구 역삼동,단독,164.72,234.1,1~10,"140,000",1978,언주로97길
 서울특별시 강동구 고덕동,단독,157.81,109.1,11~20,"43,000",1988,고덕로83길
 서울특별시 강동구 길동,다가구,288.13,163,1~10,"64,800",1996,양재대로124길
 서울특별시 강동구 길동,다가구,254.23,187.7,11~20,"68,000",1983,천중로
 서울특별시 강동구 둔촌동,단독,232.73,215,11~20,"79,000",1983,양재대로102가길
 서울특별시 강동구 성내동,단독,135.97,122,21~31,"40,000",1974,천호옛8길
 서울특별시 강동구 암사동,단독,179.79,120.5,1~10,"38,000",1986,고덕로24가길
 서울특별시 강동구 천호동,단독,45.16,74.3,1~10,"19,000",1979,양재대로131가길
 서울특별시 강동구 천호동,단독,171.99,114.8,1~10,"47,000",1989,올림픽로79길
 서울특별시 강동구 천호동,단독,162.52,218.1,21~31,"58,600",1980,천중로39길
 서울특별시 강북구 미아동,다가구,167.82,106.1,21~31,"38,400",1994,덕릉로
 서울특별시 강북구 미아동,다가구,221.58,119,11~20,"30,000",1995,삼양로68길
 서울특별시 강북구 미아동,단독,32.18,70,11~20,"21,300",1985,도봉로67다길
 서울특별시 강북구 미아동,단독,39.67,76,1~10,"26,000",1961,월계로
 서울특별시 강북구 번동,단독,136.59,87.9,21~31,"29,500",1992,도봉로102길
 서울특별시 강북구 수유동,다가구,183.65,95,11~20,"31,300",1994,삼양로91길
 서울특별시 강북구 수유동,다가구,948.81,346,21~31,"159,000",1995,4.19로
 서울특별시 강북구 수유동,단독,248.11,169,21~31,"32,000",1989,노해로27길
 서울특별시 강북구 수유동,단독,425.07,212,21~31,"37,500",1993,인수봉로
 서울특별시 강북구 수유동,단독,348.66,225,21~31,"74,000",1993,노해로25길
 서울특별시 강북구 우이동,단독,158.63,167,11~20,"43,000",1978,삼양로169길
 서울특별시 강서구 공항동,단독,242.37,169.5,21~31,"59,000",1987,
 서울특별시 강서구 공항동,단독,281.16,171.7,11~20,"54,500",1999,방화대로6다길
 서울특별시 강서구 내발산동,다가구,111.42,128.4,11~20,"30,000",1983,강서로45길
 서울특별시 강서구 등촌동,다가구,414.96,184,1~10,"72,490",1997,공항대로58나길
 서울특별시 강서구 등촌동,단독,113.39,169,21~31,"28,000",1975,공항대로58다길
 서울특별시 강서구 등촌동,단독,99.17,182,1~10,"28,000",1980,등촌로13가길
 서울특별시 강서구 마곡동,단독,91.57,181,21~31,"77,042",1982,양천로30길
 서울특별시 강서구 방화동,다가구,156.6,131,21~31,"40,000",1992,금낭화로5길
 서울특별시 강서구 방화동,단독,199.59,132,21~31,"62,000",1992,방화대로31길
 서울특별시 강서구 화곡동,다가구,181.2,117.7,11~20,"40,000",1990,우장산로14길
 서울특별시 강서구 화곡동,단독,176.98,124,1~10,"32,000",2001,곰달래로37길
 서울특별시 강서구 화곡동,단독,99.96,131.8,1~10,"45,000",1983,월정로28길
 서울특별시 강서구 화곡동,단독,243.27,166.1,11~20,"54,000",1991,등촌로13바길
 서울특별시 강서구 화곡동,단독,323.19,192,11~20,"53,000",1991,초록마을로16길
 서울특별시 관악구 봉천동,다가구,148.44,127.5,11~20,"69,500",1978,인헌4길
 서울특별시 관악구 봉천동,다가구,288.6,164.9,11~20,"64,000",1993,인헌1길
 서울특별시 관악구 봉천동,단독,63.2,68,11~20,"22,000",1975,
 서울특별시 관악구 봉천동,단독,149.73,90.2,11~20,"33,043",1992,남부순환로
 서울특별시 관악구 봉천동,단독,138.67,132,11~20,"35,000",1974,봉천로23다길
 서울특별시 관악구 봉천동,단독,163.96,142.6,1~10,"87,000",1977,남부순환로
 서울특별시 관악구 봉천동,단독,194.05,164.4,11~20,"78,000",1977,
 서울특별시 관악구 신림동,다가구,361.86,216,21~31,"77,000",1991,대학길
 서울특별시 관악구 신림동,단독,340.89,152.7,21~31,"60,000",1991,조원로14길
 서울특별시 관악구 신림동,단독,417.2,182.1,21~31,"124,200",1997,난곡로74길
 서울특별시 관악구 신림동,단독,248.84,212.2,21~31,"49,500",1989,신림동2길
 서울특별시 관악구 신림동,단독,138.49,241,1~10,"45,000",1976,복은길
 서울특별시 광진구 구의동,단독,373.35,130.6,21~31,"81,000",1997,아차산로57길
 서울특별시 광진구 구의동,단독,186.05,353,21~31,"97,000",1975,자양로44나길
 서울특별시 광진구 구의동,단독,246.76,468.2,21~31,"130,000",1975,자양로44나길
 서울특별시 광진구 구의동,단독,53.45,711.1,21~31,"195,000",1976,자양로44길
 서울특별시 광진구 군자동,단독,165.06,93,1~10,"29,500",1997,능동로25길
 서울특별시 광진구 능동,단독,418.8,281,1~10,"102,000",1995,능동로24길
 서울특별시 광진구 자양동,단독,33,55.81,11~20,"9,000",1962,뚝섬로30가길
 서울특별시 광진구 중곡동,단독,63.07,96.2,21~31,"29,000",1974,면목로12길
 서울특별시 광진구 중곡동,단독,69.72,96.2,21~31,"39,000",1974,면목로12길
 서울특별시 광진구 중곡동,단독,214.63,126.8,11~20,"55,000",2003,능동로55길
 서울특별시 광진구 중곡동,단독,230.74,157,11~20,"30,000",1987,긴고랑로40길
 서울특별시 광진구 중곡동,단독,627,231,1~10,"110,000",1991,용마산로16길
 서울특별시 광진구 화양동,단독,192.78,103.8,11~20,"52,700",1988,동일로26길
 서울특별시 구로구 개봉동,다가구,205.65,132.2,1~10,"38,000",1985,개봉로17마길
 서울특별시 구로구 개봉동,다가구,308.79,210.2,11~20,"69,302",1990,개봉로11길
 서울특별시 구로구 구로동,단독,391.41,178.5,21~31,"89,000",1992,공원로8길
 서울특별시 금천구 가산동,단독,246.33,19.8,21~31,"6,000",1900,
 서울특별시 금천구 가산동,단독,252.45,344.1,21~31,"94,000",1986,가산로3가길
 서울특별시 금천구 가산동,단독,252.45,344.1,21~31,"76,000",1986,가산로3가길
 서울특별시 금천구 독산동,단독,175.67,93.6,1~10,"18,000",1977,독산로80길
 서울특별시 금천구 독산동,단독,149.09,116.8,21~31,"36,000",1975,시흥대로148길
 서울특별시 금천구 독산동,단독,197.55,133.1,11~20,"22,000",1990,시흥대로84마길
 서울특별시 금천구 시흥동,다가구,149.19,117.4,21~31,"36,050",1993,독산로41길
 서울특별시 금천구 시흥동,다가구,190.42,178,11~20,"49,800",1979,독산로50길
 서울특별시 금천구 시흥동,단독,198.54,119.6,1~10,"23,000",1991,독산로40길
 서울특별시 도봉구 창동,단독,246.78,171,11~20,"68,500",1984,노해로63나길
 서울특별시 동대문구 답십리동,다가구,358.82,271,21~31,"75,000",1990,전농로9길
 서울특별시 동대문구 답십리동,단독,134.46,83,11~20,"28,500",1993,전농로4다길
 서울특별시 동대문구 용두동,단독,31,38.7,21~31,"16,200",1985,답십리로12길
 서울특별시 동대문구 이문동,다가구,174.15,126,1~10,"47,200",2000,이문로16길
 서울특별시 동대문구 이문동,다가구,262.32,238,11~20,"128,000",1978,천장산로9길
 서울특별시 동대문구 장안동,단독,171.68,115.15,1~10,"35,000",1983,장한로36길
 서울특별시 동대문구 전농동,다가구,147.62,79,11~20,"30,200",1992,답십리로23길
 서울특별시 동대문구 전농동,단독,33.06,18,11~20,"13,650",1980,
 서울특별시 동작구 노량진동,단독,748.59,176,21~31,"231,957",1994,
 서울특별시 동작구 노량진동,단독,161.39,195,1~10,"60,000",1974,장승배기로22길
 서울특별시 동작구 노량진동,단독,821.73,319,21~31,"640,989",1983,노량진로
