시군구,주택유형,연면적(㎡),대지면적(㎡),계약일,거래금액(만원),건축년도,도로명
 서울특별시 강남구 개포동,다가구,659.76,298.9,21~28,"225,000",1997,개포로31길
 서울특별시 강남구 개포동,단독,247.5,169.1,1~10,"110,000",1988,논현로4길
 서울특별시 강남구 개포동,단독,249,179.9,21~28,"125,000",1988,논현로18길
 서울특별시 강남구 논현동,다가구,531.09,246.7,11~20,"194,000",1994,봉은사로21길
 서울특별시 강남구 논현동,다가구,784.9,246.9,1~10,"317,000",1990,논현로119길
 서울특별시 강남구 논현동,단독,315.42,154.8,1~10,"155,000",1993,강남대로124길
 서울특별시 강남구 논현동,단독,286.79,203,1~10,"185,000",1988,언주로122길
 서울특별시 강남구 논현동,단독,170.08,218.1,11~20,"220,000",1978,봉은사로37길
 서울특별시 강남구 논현동,단독,246.17,270.6,1~10,"201,000",1988,학동로26길
 서울특별시 강남구 대치동,다가구,406.31,183.1,1~10,"177,000",1996,삼성로63길
 서울특별시 강남구 대치동,다가구,623.64,290.8,11~20,"220,000",2000,역삼로74길
 서울특별시 강남구 도곡동,단독,158.21,196,1~10,"225,000",1977,강남대로48길
 서울특별시 강남구 삼성동,단독,306.13,190.8,21~28,"180,000",1991,삼성로115길
 서울특별시 강남구 세곡동,단독,227.88,369,21~28,"152,000",1985,헌릉로618길
 서울특별시 강남구 신사동,단독,155.21,208.1,11~20,"265,000",1977,언주로170길
 서울특별시 강남구 역삼동,단독,297.15,233.1,11~20,"198,000",1991,테헤란로13길
 서울특별시 강남구 역삼동,단독,311.58,620.8,1~10,"665,000",1983,봉은사로16길
 서울특별시 강남구 율현동,단독,199.32,312,21~28,"125,000",1989,밤고개로23길
 서울특별시 강남구 일원동,단독,282.24,194.5,21~28,"100,000",1987,양재대로49길
 서울특별시 강남구 자곡동,단독,199.08,298,11~20,"163,000",1977,자곡로7길
 서울특별시 강남구 청담동,다가구,329.78,167.6,11~20,"197,500",1989,도산대로85길
 서울특별시 강남구 청담동,다가구,457.5,202.6,11~20,"235,000",1997,도산대로89길
 서울특별시 강남구 청담동,다가구,502.08,219.5,1~10,"235,000",1991,도산대로100길
 서울특별시 강남구 청담동,단독,246,174,21~28,"240,000",1983,도산대로72길
 서울특별시 강동구 고덕동,단독,241.44,184.8,11~20,"73,000",1986,상일로25길
 서울특별시 강동구 고덕동,단독,264.74,188,21~28,"78,000",1985,상일로21길
 서울특별시 강동구 고덕동,단독,325.02,218.4,21~28,"83,000",1987,동남로83길
 서울특별시 강동구 고덕동,단독,247.95,228.6,11~20,"94,000",1987,아리수로64길
 서울특별시 강동구 길동,단독,253.26,166,1~10,"99,500",1986,천중로49길
 서울특별시 강동구 길동,단독,494.68,170.5,11~20,"119,000",1989,양재대로126길
 서울특별시 강동구 길동,단독,185.25,179.6,1~10,"108,000",1981,명일로18길
 서울특별시 강동구 길동,단독,203.64,200.7,1~10,"108,000",1979,양재대로112길
