시군구,주택유형,연면적(m2),대지면적(m2),계약일,거래금액(만원),건축년도,도로명
 서울특별시 강남구 개포동,단독,174.57,117.1,11~20,"58,000",1988,논현로6길
 서울특별시 강남구 논현동,다가구,410.96,248.5,1~10,"127,000",1900,학동로4길
 서울특별시 강남구 논현동,다가구,715.11,317,11~20,"283,000",1996,학동로17길
 서울특별시 강남구 논현동,다가구,1041.61,329.6,11~20,"314,000",2003,선릉로115길
 서울특별시 강남구 논현동,단독,401.85,257.2,11~20,"130,000",2002,논현로146길
 서울특별시 강남구 삼성동,단독,36.36,66.6,1~10,"51,000",1980,테헤란로81길
 서울특별시 강남구 신사동,단독,180.16,181.3,21~28,"121,500",1978,
 서울특별시 강남구 신사동,단독,160.96,188,21~28,"158,500",1978,논현로161길
 서울특별시 강남구 역삼동,다가구,396.36,143.3,21~28,"130,000",1999,논현로95길
 서울특별시 강남구 역삼동,다가구,435.34,192,1~10,"134,000",1996,도곡로13길
 서울특별시 강남구 역삼동,다가구,551.38,247.9,1~10,"200,000",2002,언주로93길
 서울특별시 강남구 역삼동,단독,419.92,181.7,11~20,"180,000",1997,강남대로66길
 서울특별시 강남구 역삼동,단독,218.5,215.6,1~10,"43,000",1979,선릉로105길
 서울특별시 강남구 역삼동,단독,404.87,402.2,11~20,"304,000",1999,
 서울특별시 강동구 길동,단독,248.85,171.9,11~20,"64,800",1989,양재대로116길
 서울특별시 강동구 둔촌동,단독,70.12,99,1~10,"24,000",1976,풍성로65길
 서울특별시 강동구 둔촌동,단독,164.22,101,21~28,"40,500",1988,풍성로65길
 서울특별시 강동구 성내동,다가구,298.44,162,1~10,"87,000",1996,풍성로39길
 서울특별시 강동구 성내동,다가구,471.52,206.6,21~28,"111,000",1998,성안로7길
 서울특별시 강동구 성내동,단독,191.19,122,11~20,"55,000",1993,올림픽로58길
 서울특별시 강동구 성내동,단독,249.84,239.5,1~10,"97,000",1987,
 서울특별시 강동구 성내동,단독,711.81,329,21~28,"142,000",1991,천호대로168가길
 서울특별시 강동구 천호동,다가구,419.74,205.2,1~10,"105,602",1997,천중로
