시군구,주택유형,연면적(㎡),대지면적(㎡),계약일,거래금액(만원),건축년도,도로명
 서울특별시 강남구 논현동,다가구,358.46,166.9,1~10,"132,500",1995,언주로113길
 서울특별시 강남구 논현동,다가구,621.45,219.6,11~20,"202,661",2008,논현로117길
 서울특별시 강남구 논현동,다가구,799.74,317.5,21~31,"330,000",1991,학동로12길
 서울특별시 강남구 논현동,단독,161.25,287.5,21~31,"282,000",1975,학동로33길
 서울특별시 강남구 삼성동,다가구,616.25,273.3,21~31,"335,000",1996,봉은사로82길
 서울특별시 강남구 삼성동,단독,178.98,227.6,1~10,"235,000",1979,봉은사로68길
 서울특별시 강남구 삼성동,단독,230.15,335.4,11~20,"354,356",1984,삼성로120길
 서울특별시 강남구 삼성동,단독,224.77,335.6,11~20,"384,331",1984,삼성로120길
 서울특별시 강남구 수서동,단독,199.56,304,11~20,"210,000",1988,광평로46길
 서울특별시 강남구 역삼동,다가구,417.84,204.3,11~20,"145,000",1996,논현로68길
 서울특별시 강남구 역삼동,다가구,532.95,207.4,21~31,"169,500",1993,언주로79길
 서울특별시 강남구 역삼동,단독,96.75,89,21~31,"40,000",1981,도곡로23길
 서울특별시 강남구 자곡동,단독,199.02,289,11~20,"130,000",1989,자곡로7길
 서울특별시 강남구 청담동,다가구,528.95,234.7,1~10,"248,500",1997,도산대로70길
 서울특별시 강남구 청담동,단독,327.27,345.8,21~31,"610,000",1977,도산대로61길
 서울특별시 강동구 고덕동,다가구,315,225.4,21~31,"86,500",1986,동남로85길
 서울특별시 강동구 고덕동,단독,249.39,213.9,11~20,"84,500",1986,동남로85길
 서울특별시 강동구 고덕동,단독,249.65,215.6,11~20,"83,000",1987,동남로83길
 서울특별시 강동구 길동,다가구,494.92,193.7,11~20,"117,000",1994,천중로49가길
 서울특별시 강동구 둔촌동,단독,128.4,132,1~10,"58,800",1984,진황도로61길
 서울특별시 강동구 둔촌동,단독,217.1,141.5,1~10,"68,500",1986,진황도로
 서울특별시 강동구 둔촌동,단독,249.53,330,21~31,"140,000",2014,동남로53길
 서울특별시 강동구 상일동,다가구,440,220.3,1~10,"110,000",1987,상암로81길
 서울특별시 강동구 상일동,단독,249.66,177.6,11~20,"81,000",1987,상암로81길
 서울특별시 강동구 성내동,다가구,398.12,166.7,1~10,"122,700",1996,강동대로53길
 서울특별시 강동구 성내동,다가구,708.56,269,21~31,"150,000",2001,풍성로41길
 서울특별시 강동구 성내동,단독,81.33,132,1~10,"59,300",1971,풍성로41길
 서울특별시 강동구 성내동,단독,207.09,139,1~10,"75,000",1986,천호대로168나길
 서울특별시 강동구 성내동,단독,98.28,155,1~10,"59,500",1977,풍성로37가길
 서울특별시 강동구 성내동,단독,98.28,162,1~10,"59,900",1977,풍성로37가길
 서울특별시 강동구 성내동,단독,142.51,174,1~10,"68,000",1978,천호대로168다길
 서울특별시 강동구 암사동,단독,180.99,116,21~31,"52,680",1988,암사길
 서울특별시 강동구 암사동,단독,198.15,118.4,11~20,"48,500",1993,상암로
 서울특별시 강동구 암사동,단독,182.25,122.1,11~20,"52,000",1985,상암로
 서울특별시 강동구 암사동,단독,219.66,149.9,21~31,"63,470",1983,고덕로16길
 서울특별시 강동구 암사동,단독,207.44,162,21~31,"73,500",1987,암사길
 서울특별시 강동구 암사동,단독,266.82,165.3,21~31,"65,000",1994,암사13길
 서울특별시 강동구 암사동,단독,246.96,177.9,21~31,"83,400",1983,고덕로16길
 서울특별시 강동구 암사동,단독,521.04,256.5,21~31,"127,700",1990,상암로21길
 서울특별시 강동구 천호동,다가구,225.96,112,11~20,"44,000",1991,성안로27길
 서울특별시 강동구 천호동,다가구,323.28,155.1,21~31,"123,000",2012,양재대로127길
 서울특별시 강동구 천호동,단독,174.57,112,1~10,"60,800",1989,구천면로39길
 서울특별시 강동구 천호동,단독,173.58,112.1,1~10,"57,500",1989,천중로
 서울특별시 강동구 천호동,단독,179.28,142,21~31,"64,425",1983,상암로35길
 서울특별시 강동구 천호동,단독,136.08,149,21~31,"67,500",1971,상암로35길
 서울특별시 강동구 천호동,단독,143.87,149,1~10,"67,000",1977,구천면로42길
 서울특별시 강동구 천호동,단독,241.06,156.3,21~31,"90,000",1985,양재대로125길
 서울특별시 강동구 천호동,단독,245.58,174.9,11~20,"82,000",1987,천중로17길
 서울특별시 강동구 천호동,단독,97.23,179,21~31,"59,900",1969,올림픽로78길
 서울특별시 강동구 천호동,단독,290.22,182.9,21~31,"98,600",1992,천중로21길
 서울특별시 강북구 미아동,다가구,138.9,88.9,1~10,"34,500",1993,도봉로72길
 서울특별시 강북구 미아동,다가구,137.77,90.9,1~10,"35,000",1995,도봉로72길
 서울특별시 강북구 미아동,다가구,147.87,93,11~20,"35,200",1993,도봉로13나길
 서울특별시 강북구 미아동,다가구,163.5,95.9,1~10,"42,500",1992,도봉로68길
 서울특별시 강북구 미아동,다가구,162.63,116,11~20,"25,800",1992,인수봉로6나길
 서울특별시 강북구 미아동,다가구,314.85,138.2,21~31,"67,500",1992,삼양로54길
 서울특별시 강북구 미아동,다가구,327.55,165,21~31,"43,000",1993,월계로21나길
 서울특별시 강북구 미아동,다가구,292.08,175,1~10,"68,300",1993,삼양로63길
 서울특별시 강북구 미아동,단독,22.68,36,21~31,"11,500",1985,삼양로63길
 서울특별시 강북구 미아동,단독,33,40,21~31,"4,600",1984,삼양로64가길
 서울특별시 강북구 미아동,단독,24.65,56,11~20,"19,000",1985,인수봉로12길
 서울특별시 강북구 미아동,단독,33,56,21~31,"16,500",1985,삼양로63길
 서울특별시 강북구 미아동,단독,121.52,61,1~10,"17,800",1990,솔샘로47나길
 서울특별시 강북구 미아동,단독,59.5,66,11~20,"12,500",1984,솔매로22길
 서울특별시 강북구 미아동,단독,30.51,76,11~20,"11,800",1971,인수봉로6가길
 서울특별시 강북구 미아동,단독,60.03,76,1~10,"12,000",1971,솔샘로
 서울특별시 강북구 미아동,단독,38.15,79,11~20,"22,600",1970,인수봉로12길
 서울특별시 강북구 미아동,단독,53.14,93,1~10,"20,600",1985,솔매로17길
 서울특별시 강북구 미아동,단독,63.7,93.6,1~10,"21,850",1971,도봉로18나길
 서울특별시 강북구 미아동,단독,81.36,96,1~10,"29,500",1967,솔샘로43길
 서울특별시 강북구 미아동,단독,59.47,99,11~20,"31,000",1968,솔샘로64길
 서울특별시 강북구 미아동,단독,145.2,99,1~10,"47,900",1993,도봉로10나길
 서울특별시 강북구 미아동,단독,175.32,101,11~20,"34,650",1992,솔샘로64나길
 서울특별시 강북구 미아동,단독,79.7,104.8,11~20,"43,000",1971,도봉로19길
 서울특별시 강북구 미아동,단독,175.32,106,11~20,"35,000",1992,솔샘로64나길
 서울특별시 강북구 미아동,단독,115.03,116,1~10,"27,000",1968,삼양로43길
 서울특별시 강북구 미아동,단독,43.9,119,1~10,"35,800",1970,삼양로63길
 서울특별시 강북구 미아동,단독,51.62,122,11~20,"33,900",1985,인수봉로12길
 서울특별시 강북구 미아동,단독,143.8,129,1~10,"34,000",1973,삼양로24가길
 서울특별시 강북구 미아동,단독,89.69,132,11~20,"58,000",1974,오현로6길
 서울특별시 강북구 미아동,단독,152.86,152,11~20,"58,500",1975,오패산로30길
 서울특별시 강북구 미아동,단독,76.93,155,11~20,"50,000",1985,인수봉로12길
 서울특별시 강북구 미아동,단독,240.96,165.3,21~31,"82,700",1984,덕릉로30길
 서울특별시 강북구 미아동,단독,249.12,191,21~31,"81,934",1985,덕릉로30길
