시군구,주택유형,연면적(m2),대지면적(m2),계약일,거래금액(만원),건축년도,도로명
 서울특별시 강남구 논현동,다가구,335.9,171.4,11~20,"173,500",1990,학동로12길
 서울특별시 강남구 논현동,다가구,634.64,280.8,21~31,"280,000",1996,학동로31길
 서울특별시 강남구 논현동,단독,163.01,339,11~20,"235,000",1977,선릉로119길
 서울특별시 강남구 논현동,단독,163.01,339,1~10,"235,000",1977,선릉로119길
 서울특별시 강남구 논현동,단독,321.01,380.9,21~31,"315,000",1989,학동로21길
 서울특별시 강남구 대치동,다가구,476.01,233.6,11~20,"201,485",1995,삼성로69길
 서울특별시 강남구 삼성동,다가구,415.56,196.8,21~31,"179,000",1995,삼성로103길
 서울특별시 강남구 역삼동,다가구,450.36,209.8,1~10,"156,000",1995,언주로67길
 서울특별시 강남구 역삼동,다가구,649.92,298.1,21~31,"337,500",1993,봉은사로18길
 서울특별시 강남구 역삼동,다가구,754.19,363.6,11~20,"285,000",2002,논현로101길
 서울특별시 강남구 율현동,단독,198.87,287,11~20,"107,000",1988,밤고개로24길
 서울특별시 강동구 고덕동,다가구,438.2,218.7,1~10,"87,000",1987,상일로17길
 서울특별시 강동구 길동,다가구,741.41,326.9,11~20,"310,000",2004,양재대로116길
 서울특별시 강동구 둔촌동,다가구,248.72,162.8,11~20,"82,653",1991,풍성로65길
 서울특별시 강동구 명일동,다가구,349.26,167,11~20,"98,000",1992,양재대로141길
 서울특별시 강동구 명일동,다가구,180.28,172.6,1~10,"88,500",1983,양재대로128길
 서울특별시 강동구 명일동,단독,249.3,179,11~20,"99,900",1991,양재대로141길
 서울특별시 강동구 명일동,단독,289.62,216.4,11~20,"91,600",1988,동남로65길
 서울특별시 강동구 성내동,다가구,190.27,113,11~20,"54,000",1993,천호옛8길
 서울특별시 강동구 성내동,다가구,190.27,113,11~20,"54,000",1993,천호옛8길
 서울특별시 강동구 성내동,다가구,498.24,229.8,11~20,"133,000",1994,풍성로54길
 서울특별시 강동구 성내동,단독,111.49,73,11~20,"24,200",1992,천호대로168가길
 서울특별시 강동구 성내동,단독,177.18,116,1~10,"46,250",1988,풍성로39길
 서울특별시 강동구 성내동,단독,138.78,126,1~10,"60,800",1978,천호대로158길
 서울특별시 강동구 성내동,단독,190.3,126,1~10,"64,000",1988,천호대로158길
 서울특별시 강동구 성내동,단독,247.23,169,21~31,"91,800",1988,천호옛8길
 서울특별시 강동구 성내동,단독,427.46,169.5,1~10,"120,000",1993,성안로
 서울특별시 강동구 성내동,단독,83.31,233.5,11~20,"154,700",1979,양재대로103길
 서울특별시 강동구 암사동,다가구,359.48,172.5,1~10,"95,000",1998,고덕로10길
 서울특별시 강동구 암사동,단독,170.84,220.5,1~10,"85,000",1983,고덕로20가길
 서울특별시 강동구 암사동,단독,199.54,323,11~20,"84,700",1996,올림픽로107길
 서울특별시 강동구 천호동,다가구,148.44,96,1~10,"35,000",1991,구천면로25길
 서울특별시 강동구 천호동,다가구,294.09,205.7,21~31,"86,000",1994,올림픽로89길
 서울특별시 강북구 미아동,다가구,140.94,86,1~10,"34,500",1993,도봉로10나길
 서울특별시 강북구 미아동,다가구,145.68,87.5,1~10,"36,800",1992,도봉로39길
 서울특별시 강북구 미아동,다가구,145.08,95.9,1~10,"40,000",1994,도봉로49길
 서울특별시 강북구 미아동,다가구,169.5,96,21~31,"32,000",1995,도봉로29길
 서울특별시 강북구 미아동,다가구,173.25,102,11~20,"34,500",1991,삼양로20길
 서울특별시 강북구 미아동,다가구,179.07,106,1~10,"41,600",1990,삼양로46가길
 서울특별시 강북구 미아동,다가구,149.25,109.4,11~20,"30,000",1994,도봉로32길
 서울특별시 강북구 미아동,다가구,187.56,113,21~31,"43,500",1995,솔샘로64나길
 서울특별시 강북구 미아동,단독,33.06,53,21~31,"13,800",1968,삼양로20길
