시군구,주택유형,연면적(㎡),대지면적(㎡),계약일,거래금액(만원),건축년도,도로명
 서울특별시 강남구 논현동,다가구,249.89,165.3,1~10,"160,000",1989,봉은사로25길
 서울특별시 강남구 논현동,다가구,371.41,186.6,1~10,"175,000",1997,강남대로120길
 서울특별시 강남구 논현동,다가구,425.19,228.9,11~20,"260,000",2010,강남대로114길
 서울특별시 강남구 논현동,다가구,551.04,269.4,1~10,"245,000",2002,학동로18길
 서울특별시 강남구 논현동,다가구,551.04,269.4,1~10,"245,000",2002,학동로18길
 서울특별시 강남구 논현동,다가구,658.41,313.5,21~31,"315,000",1997,논현로146길
 서울특별시 강남구 논현동,다가구,658.41,313.5,21~31,"315,000",1997,논현로146길
 서울특별시 강남구 논현동,단독,229.85,162.8,1~10,"130,000",1986,학동로18길
 서울특별시 강남구 논현동,단독,229.85,162.8,1~10,"130,000",1986,학동로18길
 서울특별시 강남구 논현동,단독,215.17,230.5,21~31,"223,000",1979,논현로111길
 서울특별시 강남구 논현동,단독,192.14,247.7,1~10,"265,000",1978,봉은사로25길
 서울특별시 강남구 논현동,단독,325.56,392.5,1~10,"420,000",1991,학동로5길
 서울특별시 강남구 대치동,다가구,359.93,176.1,21~31,"195,000",1995,역삼로77길
 서울특별시 강남구 대치동,다가구,405.37,209.6,11~20,"203,000",1993,선릉로62길
 서울특별시 강남구 대치동,다가구,512.41,252.6,11~20,"260,000",1997,역삼로71길
 서울특별시 강남구 대치동,단독,199.39,160.4,11~20,"105,000",1985,역삼로88길
 서울특별시 강남구 도곡동,다가구,497.2,264.6,1~10,"336,000",1996,양재천로
 서울특별시 강남구 도곡동,다가구,849.68,325.2,21~31,"371,000",2000,도곡로2길
 서울특별시 강남구 도곡동,단독,290.61,268,11~20,"226,800",1983,도곡로2길
 서울특별시 강남구 신사동,단독,185.14,118.6,21~31,"139,000",2002,논현로153길
 서울특별시 강남구 신사동,단독,309.09,220,11~20,"312,500",1999,논현로158길
 서울특별시 강남구 역삼동,다가구,357.07,164.7,1~10,"128,000",1995,논현로71길
 서울특별시 강남구 역삼동,다가구,534.46,229.3,1~10,"240,000",1995,언주로98길
 서울특별시 강남구 역삼동,다가구,514.78,242.6,21~31,"270,000",1996,테헤란로57길
 서울특별시 강남구 역삼동,다가구,536.6,260.6,1~10,"220,000",1996,선릉로103길
 서울특별시 강남구 역삼동,다가구,554.84,371.6,11~20,"255,000",2000,봉은사로18길
 서울특별시 강남구 역삼동,다가구,743.09,385.2,11~20,"350,000",2000,테헤란로57길
 서울특별시 강남구 역삼동,단독,492.59,212,11~20,"191,500",1998,도곡로17길
 서울특별시 강남구 역삼동,단독,229,316.7,21~31,"161,000",1983,논현로63길
 서울특별시 강남구 역삼동,단독,326.95,507.1,11~20,"500,000",1987,테헤란로28길
 서울특별시 강남구 율현동,단독,199.56,324,1~10,"145,000",1999,밤고개로23길
 서울특별시 강남구 일원동,다가구,249.76,193.7,1~10,"121,500",1987,개포로128길
 서울특별시 강남구 일원동,단독,272.2,198.3,21~31,"120,000",1985,개포로128길
 서울특별시 강남구 청담동,다가구,766.25,249.3,1~10,"385,000",1997,도산대로78길
 서울특별시 강동구 고덕동,다가구,499.52,229.7,1~10,"122,500",1995,동남로85길
 서울특별시 강동구 고덕동,단독,246.3,185.9,21~31,"90,000",1987,고덕로83길
 서울특별시 강동구 고덕동,단독,248.73,225.3,1~10,"100,800",1985,동남로85길
 서울특별시 강동구 길동,다가구,288.13,163,21~31,"100,000",1996,양재대로124길
 서울특별시 강동구 길동,다가구,249.9,173.5,21~31,"89,000",1990,천중로49가길
 서울특별시 강동구 길동,다가구,405.64,185.2,11~20,"150,000",1997,천중로48길
 서울특별시 강동구 길동,단독,166.32,113,21~31,"53,750",1987,천호대로199길
 서울특별시 강동구 길동,단독,493.9,212.5,11~20,"170,500",1994,천중로50길
 서울특별시 강동구 둔촌동,다가구,308.36,188.9,11~20,"105,900",2004,천호대로186길
 서울특별시 강동구 둔촌동,단독,205.56,141.5,1~10,"63,000",1986,진황도로
 서울특별시 강동구 둔촌동,단독,595.88,231,1~10,"137,900",1989,진황도로
 서울특별시 강동구 상일동,단독,248.52,190.7,11~20,"96,000",1987,구천면로98길
 서울특별시 강동구 성내동,다가구,213.42,119,1~10,"68,500",1990,천호옛10길
 서울특별시 강동구 성내동,다가구,319.32,142,1~10,"112,000",2001,풍성로35길
 서울특별시 강동구 성내동,다가구,359,168,11~20,"137,000",1997,풍성로41길
 서울특별시 강동구 성내동,단독,66.05,96,1~10,"56,550",1975,풍성로37길
 서울특별시 강동구 성내동,단독,128.54,106,11~20,"57,600",1976,천호대로168나길
 서울특별시 강동구 성내동,단독,126.88,109,11~20,"61,050",1976,천호대로168다길
 서울특별시 강동구 성내동,단독,172.11,109,1~10,"66,000",1988,천호옛8길
 서울특별시 강동구 성내동,단독,173.94,126,1~10,"72,200",1988,풍성로37길
 서울특별시 강동구 성내동,단독,211.05,151,21~31,"58,500",1988,풍성로
 서울특별시 강동구 성내동,단독,176.37,165.3,21~31,"100,000",1982,성안로
 서울특별시 강동구 성내동,단독,180.56,165.3,21~31,"95,000",1982,성안로
 서울특별시 강동구 성내동,단독,246.42,186,11~20,"72,800",1987,풍성로
 서울특별시 강동구 암사동,다가구,178.65,121.6,21~31,"64,000",1994,상암로
 서울특별시 강동구 암사동,다가구,564.12,178.2,21~31,"202,500",2011,고덕로8길
 서울특별시 강동구 암사동,다가구,413.72,196.3,11~20,"90,300",1997,고덕로16길
 서울특별시 강동구 암사동,다가구,413.72,196.3,11~20,"90,300",1997,고덕로16길
 서울특별시 강동구 암사동,단독,129.6,90,11~20,"31,000",1990,구천면로53길
 서울특별시 강동구 암사동,단독,196.79,121,21~31,"65,880",1996,상암로
 서울특별시 강동구 암사동,단독,183.87,122.8,21~31,"63,070",1987,상암로
 서울특별시 강동구 암사동,단독,184.68,123.8,21~31,"74,500",1990,고덕로20가길
 서울특별시 강동구 암사동,단독,189.72,126.8,1~10,"55,500",1989,고덕로20가길
 서울특별시 강동구 천호동,다가구,173.49,99,11~20,"44,500",2004,상암로27길
 서울특별시 강동구 천호동,다가구,237.29,136,1~10,"42,000",1993,구천면로42가길
 서울특별시 강동구 천호동,다가구,348.12,139,21~31,"84,500",1989,천중로29길
 서울특별시 강동구 천호동,다가구,197.61,149,21~31,"70,700",1993,천중로34길
 서울특별시 강동구 천호동,다가구,349.54,202,11~20,"100,000",1992,구천면로62길
 서울특별시 강동구 천호동,단독,56.83,72.7,21~31,"30,800",1970,천중로14길
 서울특별시 강동구 천호동,단독,54.91,75,21~31,"50,000",1970,천중로14길
 서울특별시 강동구 천호동,단독,72.83,85,21~31,"39,000",1983,구천면로36길
 서울특별시 강동구 천호동,단독,213.22,106,11~20,"52,200",1989,구천면로42길
 서울특별시 강동구 천호동,단독,167.58,109,11~20,"58,500",1990,구천면로68나길
 서울특별시 강동구 천호동,단독,171.3,112,21~31,"42,000",1988,구천면로42길
 서울특별시 강동구 천호동,단독,171.76,113.3,21~31,"60,000",1987,상암로
 서울특별시 강동구 천호동,단독,163.41,116,11~20,"55,900",1988,구천면로16길
 서울특별시 강동구 천호동,단독,172.2,119,1~10,"63,000",1988,상암로
 서울특별시 강동구 천호동,단독,181.8,122,11~20,"54,800",1990,성안로31라길
 서울특별시 강동구 천호동,단독,177.64,126,21~31,"70,000",1988,천중로34길
 서울특별시 강동구 천호동,단독,162.57,128,11~20,"48,000",1989,천중로27길
 서울특별시 강동구 천호동,단독,182.1,132,11~20,"68,000",1984,천중로33길
 서울특별시 강동구 천호동,단독,204.33,139,1~10,"73,500",1988,상암로
 서울특별시 강동구 천호동,단독,211.32,145,11~20,"73,000",1988,구천면로62가길
 서울특별시 강동구 천호동,단독,161.38,149.8,21~31,"95,130",1978,천중로14길
 서울특별시 강동구 천호동,단독,229.89,151.4,1~10,"77,700",1990,상암로
 서울특별시 강동구 천호동,단독,238.62,160.4,21~31,"86,330",1987,상암로
 서울특별시 강동구 천호동,단독,216.72,162,21~31,"61,500",1988,성안로31길
 서울특별시 강동구 천호동,단독,471.09,172.7,21~31,"98,700",1988,천중로17길
 서울특별시 강동구 천호동,단독,152.24,182,21~31,"82,500",1975,구천면로16길
 서울특별시 강동구 천호동,단독,222.07,188.7,11~20,"80,000",1980,천중로2길
 서울특별시 강동구 천호동,단독,201.75,204,21~31,"110,000",1988,양재대로133길
 서울특별시 강동구 천호동,단독,272.52,204,11~20,"123,400",1989,구천면로62길
 서울특별시 강동구 천호동,단독,449.59,210.6,21~31,"169,000",1980,천중로
 서울특별시 강북구 미아동,다가구,123.6,83,11~20,"40,100",1994,오패산로31길
 서울특별시 강북구 미아동,다가구,141.6,89,1~10,"32,800",1995,삼양로16길
 서울특별시 강북구 미아동,다가구,142.68,89,1~10,"39,300",1998,도봉로10나길
 서울특별시 강북구 미아동,다가구,140.4,92,21~31,"36,600",1995,솔샘로64나길
 서울특별시 강북구 미아동,다가구,149.76,92.9,21~31,"37,000",1990,솔매로45길
 서울특별시 강북구 미아동,다가구,127.35,96,1~10,"43,400",1990,도봉로10다길
 서울특별시 강북구 미아동,다가구,143.19,99,11~20,"39,000",1993,삼양로20나길
 서울특별시 강북구 미아동,다가구,149.96,99.1,1~10,"41,000",1992,도봉로27길
 서울특별시 강북구 미아동,다가구,192.5,100.5,11~20,"47,120",1994,솔샘로65길
 서울특별시 강북구 미아동,다가구,201.96,102,1~10,"61,700",1996,도봉로45길
 서울특별시 강북구 미아동,다가구,135.89,106.8,11~20,"40,000",1994,도봉로18길
 서울특별시 강북구 미아동,다가구,225.73,114.7,1~10,"66,500",2010,도봉로30길
 서울특별시 강북구 미아동,다가구,208.71,117,11~20,"52,500",1999,
 서울특별시 강북구 미아동,다가구,209.16,132,1~10,"40,300",1995,숭인로3길
 서울특별시 강북구 미아동,다가구,206.28,155,1~10,"46,900",1990,숭인로5길
 서울특별시 강북구 미아동,다가구,297.78,172,11~20,"55,000",1987,삼양로41길
 서울특별시 강북구 미아동,다가구,218.55,191.1,1~10,"82,000",1973,솔매로40길
 서울특별시 강북구 미아동,단독,44.63,60,1~10,"20,500",1967,솔샘로64나길
 서울특별시 강북구 미아동,단독,46.81,73,1~10,"21,000",1969,솔샘로59가길
 서울특별시 강북구 미아동,단독,44.63,76,11~20,"11,000",1968,오패산로28길
 서울특별시 강북구 미아동,단독,45,83,11~20,"33,500",1968,오패산로31길
 서울특별시 강북구 미아동,단독,133.08,84,11~20,"31,400",1995,도봉로72길
 서울특별시 강북구 미아동,단독,152,87,1~10,"29,000",1991,솔매로
 서울특별시 강북구 미아동,단독,71.77,91.6,11~20,"43,000",1969,도봉로61길
 서울특별시 강북구 미아동,단독,69.42,92.6,11~20,"32,000",1969,삼양로54다길
 서울특별시 강북구 미아동,단독,61.52,92.9,11~20,"37,800",1968,도봉로61길
 서울특별시 강북구 미아동,단독,61.52,92.9,11~20,"37,500",1968,도봉로61길
 서울특별시 강북구 미아동,단독,60.13,93,11~20,"28,500",1970,삼양로20가길
 서울특별시 강북구 미아동,단독,87.11,93,1~10,"42,000",1970,오현로6길
 서울특별시 강북구 미아동,단독,71.5,95,11~20,"36,700",1971,삼양로24길
 서울특별시 강북구 미아동,단독,68.1,96.9,11~20,"40,550",1968,도봉로61길
 서울특별시 강북구 미아동,단독,78.81,99,11~20,"43,000",1972,삼양로54나길
 서울특별시 강북구 미아동,단독,79.6,102,21~31,"33,500",1973,솔샘로60길
 서울특별시 강북구 미아동,단독,149.45,106,11~20,"44,500",1974,오패산로35길
 서울특별시 강북구 미아동,단독,123.87,106.8,11~20,"43,200",1972,도봉로49길
 서울특별시 강북구 미아동,단독,68.76,107.8,21~31,"45,000",1967,솔매로37길
 서울특별시 강북구 미아동,단독,79.47,120.3,21~31,"45,480",1971,도봉로41길
 서울특별시 강북구 미아동,단독,142.11,121.7,1~10,"55,000",1972,도봉로47길
 서울특별시 강북구 미아동,단독,151.21,124,21~31,"50,800",1973,솔매로50길
 서울특별시 강북구 미아동,단독,77.76,153.1,21~31,"56,000",1971,솔매로37길
 서울특별시 강북구 미아동,단독,494.94,167,1~10,"129,000",1993,도봉로13길
 서울특별시 강북구 미아동,단독,133.39,279,21~31,"69,000",1985,솔매로22가길
 서울특별시 강북구 미아동,단독,156.99,364,21~31,"162,000",1975,덕릉로30길
 서울특별시 강북구 번동,다가구,106.94,60,1~10,"22,000",1994,덕릉로40라길
 서울특별시 강북구 번동,다가구,149.76,98.5,11~20,"45,000",1994,한천로129길
 서울특별시 강북구 번동,다가구,150.22,100.5,11~20,"36,500",1994,한천로
 서울특별시 강북구 번동,다가구,296.46,156.4,1~10,"53,400",1994,한천로
 서울특별시 강북구 번동,다가구,190.81,183.8,21~31,"89,000",1974,한천로129길
 서울특별시 강북구 번동,단독,74.12,103.1,21~31,"37,200",1976,덕릉로40나길
 서울특별시 강북구 번동,단독,72.93,103.5,11~20,"29,000",1971,덕릉로40길
 서울특별시 강북구 번동,단독,81.22,113.1,11~20,"42,000",1976,덕릉로40나길
 서울특별시 강북구 번동,단독,87.43,123,11~20,"44,400",1975,덕릉로40나길
 서울특별시 강북구 수유동,다가구,255.52,126,1~10,"49,500",1998,노해로19길
 서울특별시 강북구 수유동,다가구,206.95,139,1~10,"43,500",1988,덕릉로
 서울특별시 강북구 수유동,다가구,275.45,145,21~31,"57,000",1996,노해로13길
 서울특별시 강북구 수유동,다가구,199.2,165,1~10,"54,500",1993,노해로29길
 서울특별시 강북구 수유동,다가구,183.01,175.6,21~31,"51,000",1980,수유로21길
 서울특별시 강북구 수유동,다가구,349.31,182,11~20,"71,500",1993,인수봉로56길
 서울특별시 강북구 수유동,단독,93.16,86,21~31,"28,000",1971,인수봉로79가길
 서울특별시 강북구 수유동,단독,62.05,89,11~20,"22,000",1985,인수봉로64길
 서울특별시 강북구 수유동,단독,106.02,101.1,21~31,"27,200",1984,노해로33다길
 서울특별시 강북구 수유동,단독,173.26,101.5,11~20,"43,500",1991,노해로7길
 서울특별시 강북구 수유동,단독,181.42,104.8,1~10,"37,500",1992,한천로143길
 서울특별시 강북구 수유동,단독,73.55,106.4,11~20,"41,860",1972,노해로7길
 서울특별시 강북구 수유동,단독,89.85,106.4,1~10,"37,500",1974,노해로7길
 서울특별시 강북구 수유동,단독,65.29,107.4,11~20,"41,990",1972,노해로7길
 서울특별시 강북구 수유동,단독,79.77,108.1,21~31,"40,000",1974,노해로7길
 서울특별시 강북구 수유동,단독,61.69,108.4,11~20,"42,640",1972,노해로7길
 서울특별시 강북구 수유동,단독,122.64,111.4,11~20,"36,800",1986,노해로35길
 서울특별시 강북구 수유동,단독,149.76,116,11~20,"39,000",1993,노해로33길
 서울특별시 강북구 수유동,단독,182.25,116,11~20,"48,000",1989,한천로143길
 서울특별시 강북구 수유동,단독,135.44,119,11~20,"46,500",1974,삼양로93길
 서울특별시 강북구 수유동,단독,178.98,126,11~20,"45,000",1997,한천로150길
 서울특별시 강북구 수유동,단독,198.91,132,1~10,"46,000",1988,삼양로117길
 서울특별시 강북구 수유동,단독,155.48,132.2,11~20,"48,000",1989,도봉로95길
 서울특별시 강북구 수유동,단독,140.66,136,11~20,"26,500",2003,인수봉로23가길
 서울특별시 강북구 수유동,단독,204.12,141.2,1~10,"84,900",1985,노해로11길
 서울특별시 강북구 수유동,단독,329.07,155,21~31,"65,800",1997,한천로
 서울특별시 강북구 수유동,단독,238.62,166,21~31,"59,000",1989,노해로9길
 서울특별시 강북구 수유동,단독,184.7,175,21~31,"78,351",1974,덕릉로
 서울특별시 강북구 수유동,단독,247.23,175,21~31,"60,420",1989,삼양로87길
 서울특별시 강북구 수유동,단독,248.67,175,21~31,"73,900",1989,삼양로87길
 서울특별시 강북구 수유동,단독,243.52,178,21~31,"60,000",1983,인수봉로68길
 서울특별시 강북구 수유동,단독,249.27,190.1,11~20,"67,900",1988,노해로33길
 서울특별시 강북구 수유동,단독,165.26,202,21~31,"77,000",1978,한천로166길
 서울특별시 강북구 수유동,단독,520.97,205,21~31,"117,000",1990,삼각산로
 서울특별시 강북구 수유동,단독,205.98,224,1~10,"88,000",1978,인수봉로84길
 서울특별시 강북구 수유동,단독,223.24,224,1~10,"84,700",1978,인수봉로84길
 서울특별시 강북구 수유동,단독,220.58,231,21~31,"75,000",1983,한천로166길
 서울특별시 강북구 수유동,단독,249.18,235,11~20,"71,000",1989,노해로26길
 서울특별시 강북구 수유동,단독,53.98,331,11~20,"45,350",1965,인수봉로67길
