시군구,주택유형,연면적(㎡),대지면적(㎡),계약일,거래금액(만원),건축년도,도로명
 서울특별시 강남구 개포동,다가구,533.45,265.5,1~10,"205,000",1996,논현로12길
 서울특별시 강남구 개포동,단독,215.95,117,11~20,"89,000",1989,논현로6길
 서울특별시 강남구 개포동,단독,175.44,117.4,11~20,"86,000",1989,논현로4길
 서울특별시 강남구 논현동,다가구,1041.1,354.7,11~20,"420,000",2002,학동로43길
 서울특별시 강남구 논현동,단독,326.49,260.6,11~20,"235,000",1989,학동로18길
 서울특별시 강남구 대치동,단독,199.83,205,21~30,"217,000",1977,역삼로70길
 서울특별시 강남구 도곡동,다가구,127.82,79,11~20,"85,300",1991,강남대로44길
 서울특별시 강남구 삼성동,다가구,522.88,244,11~20,"265,000",1995,삼성로115길
 서울특별시 강남구 삼성동,다가구,419.68,262.4,1~10,"290,000",1995,봉은사로84길
 서울특별시 강남구 삼성동,단독,325.22,319.7,1~10,"360,000",1986,봉은사로105길
 서울특별시 강남구 신사동,다가구,286.97,182.2,1~10,"200,000",2002,논현로151길
 서울특별시 강남구 신사동,단독,67.54,90.2,1~10,"110,000",1975,언주로164길
 서울특별시 강남구 역삼동,다가구,146.9,158.4,1~10,"185,000",2014,논현로97길
 서울특별시 강남구 역삼동,다가구,428,211.1,21~30,"207,000",2001,선릉로103길
 서울특별시 강남구 역삼동,다가구,658.32,346.3,11~20,"330,000",1994,역삼로33길
 서울특별시 강남구 역삼동,단독,293.28,206.5,1~10,"193,750",1989,봉은사로48길
 서울특별시 강남구 율현동,단독,199.38,306,1~10,"152,000",1987,밤고개로24길
 서울특별시 강남구 일원동,다가구,517.18,232.3,11~20,"177,000",1997,광평로5길
 서울특별시 강남구 일원동,단독,191.95,180.2,1~10,"107,000",1987,개포로128길
 서울특별시 강남구 일원동,단독,191.95,180.2,1~10,"107,000",1987,개포로128길
 서울특별시 강남구 청담동,단독,191.7,194.1,21~30,"204,000",1983,선릉로148길
 서울특별시 강동구 고덕동,단독,246.6,181.4,1~10,"95,000",1988,아리수로72길
 서울특별시 강동구 고덕동,단독,244.53,183.5,1~10,"89,000",1987,상일로17길
