시군구,주택유형,연면적(m2),대지면적(m2),계약일,거래금액(만원),건축년도,도로명
 서울특별시 강남구 개포동,다가구,373.84,189.7,21~31,"137,500",1987,선릉로8길
 서울특별시 강남구 논현동,단독,245.7,169.2,21~31,"100,000",1990,논현로124길
 서울특별시 강남구 논현동,단독,487,228.2,11~20,"175,000",1996,학동로28길
 서울특별시 강남구 대치동,단독,248.85,172.6,21~31,"125,000",1984,역삼로83길
 서울특별시 강남구 대치동,단독,260.01,218.7,21~31,"90,000",1984,
 서울특별시 강남구 삼성동,다가구,324.84,160.9,21~31,"101,750",1996,삼성로107길
 서울특별시 강남구 삼성동,단독,198.41,139.1,11~20,"128,000",1981,테헤란로81길
 서울특별시 강남구 역삼동,다가구,419.92,181.7,11~20,"180,000",1997,강남대로66길
 서울특별시 강남구 역삼동,다가구,586.6,255.4,21~31,"219,000",1995,테헤란로55길
 서울특별시 강남구 역삼동,단독,446.52,180.1,21~31,"238,000",1995,봉은사로4길
 서울특별시 강남구 역삼동,단독,118.68,276.5,11~20,"549,000",1976,테헤란로8길
 서울특별시 강남구 청담동,단독,178.34,165.8,21~31,"137,500",1977,도산대로85길
 서울특별시 강남구 청담동,단독,554.15,227.9,11~20,"265,000",2003,학동로55길
 서울특별시 강동구 길동,단독,207.21,141,21~31,"33,000",1989,천중로50길
 서울특별시 강동구 둔촌동,단독,285.32,171.5,11~20,"70,000",1983,풍성로61길
 서울특별시 강동구 명일동,단독,406.19,226.6,1~10,"113,000",1988,
 서울특별시 강동구 상일동,단독,206.4,93,1~10,"95,000",1995,상일로
 서울특별시 강동구 성내동,다가구,394.22,176.7,11~20,"105,000",1997,강동대로51길
 서울특별시 강동구 성내동,단독,173.55,116,11~20,"48,300",1989,풍성로
 서울특별시 강동구 성내동,단독,429.39,204.9,11~20,"104,000",1997,성내로15길
 서울특별시 강동구 성내동,단독,207.77,251.5,11~20,"114,000",1980,양재대로85길
 서울특별시 강동구 성내동,단독,659.41,352.4,21~31,"137,800",1985,풍성로45길
 서울특별시 강동구 암사동,다가구,325.12,195.8,1~10,"72,800",2002,고덕로14가길
 서울특별시 강동구 천호동,다가구,196.73,115,21~31,"43,250",1993,구천면로46길
 서울특별시 강동구 천호동,다가구,294.7,144.4,11~20,"59,900",1994,천중로39길
 서울특별시 강동구 천호동,단독,99.89,66,21~31,"39,000",1992,구천면로14길
