시군구,주택유형,연면적(m2),대지면적(m2),계약일,거래금액(만원),건축년도,도로명
 서울특별시 강남구 논현동,다가구,419.64,186.5,11~20,"109,000",1997,학동로20길
 서울특별시 강남구 논현동,다가구,522.96,237.8,11~20,"153,000",1994,강남대로128길
 서울특별시 강남구 논현동,다가구,537.9,248.2,1~10,"180,000",1997,학동로42길
 서울특별시 강남구 논현동,다가구,534.76,249.2,21~31,"150,000",1994,봉은사로37길
 서울특별시 강남구 논현동,다가구,674.67,254.1,11~20,"224,000",1997,학동로26길
 서울특별시 강남구 도곡동,단독,307.26,208.4,11~20,"126,000",1989,논현로34길
 서울특별시 강남구 삼성동,다가구,536.28,236.5,21~31,"134,000",1995,봉은사로71길
 서울특별시 강남구 신사동,다가구,178.26,98.1,1~10,"59,000",1993,논현로151길
 서울특별시 강남구 신사동,다가구,408.18,194.7,11~20,"145,000",1996,논현로175길
 서울특별시 강남구 신사동,단독,78.12,160.6,1~10,"77,000",1973,논현로153길
 서울특별시 강남구 역삼동,다가구,387.57,186.8,1~10,"125,000",1997,논현로71길
 서울특별시 강남구 역삼동,다가구,527.36,263.8,21~31,"236,000",2002,봉은사로44길
 서울특별시 강남구 역삼동,다가구,611.52,391.5,1~10,"275,000",1996,역삼로23길
 서울특별시 강남구 역삼동,단독,137.52,93.9,21~31,"45,000",1987,논현로95길
 서울특별시 강남구 청담동,단독,68.27,132.9,1~10,"58,697",1972,도산대로98길
 서울특별시 강남구 청담동,단독,68.27,132.9,1~10,"58,697",1972,도산대로98길
 서울특별시 강남구 청담동,단독,237.16,189,11~20,"142,700",1987,도산대로89길
 서울특별시 강남구 청담동,단독,290.34,288.8,21~31,"299,000",1981,삼성로146길
 서울특별시 강동구 길동,단독,54.35,112,11~20,"28,000",1986,천호대로203길
 서울특별시 강동구 길동,단독,197.3,128,1~10,"39,000",1987,천중로
 서울특별시 강동구 길동,단독,198.45,134.2,1~10,"39,900",1986,명일로
 서울특별시 강동구 길동,단독,164.16,155.6,21~31,"63,000",1983,진황도로47길
 서울특별시 강동구 길동,단독,235.68,157.5,11~20,"46,100",1987,명일로16길
 서울특별시 강동구 길동,단독,178.74,166,21~31,"54,500",1983,천중로52길
 서울특별시 강동구 길동,단독,245.16,170.1,21~31,"50,000",1987,천호대로185길
 서울특별시 강동구 길동,단독,130.25,179.6,1~10,"54,000",1978,양재대로110길
 서울특별시 강동구 둔촌동,단독,256.08,244,1~10,"60,000",1984,명일로10가길
 서울특별시 강동구 둔촌동,단독,256.08,244,1~10,"75,000",1984,명일로10가길
 서울특별시 강동구 상일동,다가구,421,212.6,1~10,"91,000",1987,
 서울특별시 강동구 상일동,단독,365.28,192.1,1~10,"96,500",1988,상일로5길
