시군구,주택유형,연면적(m2),대지면적(m2),계약일,거래금액(만원),건축년도,도로명
 서울특별시 강남구 논현동,다가구,473.47,216.2,21~30,"130,000",1997,학동로26길
 서울특별시 강남구 논현동,단독,184.32,126.8,21~30,"42,000",1991,언주로138길
 서울특별시 강남구 논현동,단독,260.1,500.2,1~10,"280,000",1975,학동로11길
 서울특별시 강남구 대치동,다가구,463.76,206.5,21~30,"132,500",1997,삼성로63길
 서울특별시 강남구 대치동,단독,133.56,89.3,21~30,"70,000",1983,도곡로87길
 서울특별시 강남구 대치동,단독,163.93,285.7,21~30,"118,500",1977,역삼로70길
 서울특별시 강남구 도곡동,다가구,426.44,195.8,11~20,"107,000",1996,남부순환로370길
 서울특별시 강남구 삼성동,단독,325.84,528.3,11~20,"440,000",1986,봉은사로57길
 서울특별시 강남구 신사동,단독,197.93,150.7,11~20,"121,000",1975,
 서울특별시 강남구 역삼동,다가구,66.66,39.3,21~30,"23,000",1994,언주로103길
 서울특별시 강남구 역삼동,다가구,315.12,164,11~20,"95,000",1994,역삼로5길
 서울특별시 강남구 역삼동,다가구,494.37,200.3,11~20,"101,000",1992,역삼로14길
 서울특별시 강남구 역삼동,다가구,442.89,203.1,11~20,"91,000",1996,도곡로13길
 서울특별시 강남구 역삼동,다가구,247.29,223.4,1~10,"67,000",1990,선릉로103길
 서울특별시 강남구 역삼동,다가구,605.94,272,1~10,"174,000",1995,테헤란로22길
 서울특별시 강남구 역삼동,다가구,489.07,498.4,21~30,"229,000",1992,봉은사로48길
 서울특별시 강남구 역삼동,단독,155.78,101.8,1~10,"51,000",1982,논현로79길
 서울특별시 강남구 역삼동,단독,259.88,287.6,1~10,"106,500",1983,테헤란로19길
 서울특별시 강남구 역삼동,단독,486.86,366.5,1~10,"200,000",1985,테헤란로19길
 서울특별시 강남구 율현동,단독,199.56,324,1~10,"100,000",1999,밤고개로23길
 서울특별시 강남구 일원동,단독,249.72,198.3,11~20,"118,000",1987,개포로118길
 서울특별시 강동구 고덕동,다가구,249.24,190.5,21~30,"70,000",1985,아리수로
 서울특별시 강동구 고덕동,다가구,318.06,192.5,1~10,"75,400",1987,아리수로
 서울특별시 강동구 고덕동,다가구,455.04,228.7,21~30,"90,500",1988,
 서울특별시 강동구 고덕동,단독,221.26,145.6,21~30,"59,800",1987,아리수로78길
 서울특별시 강동구 고덕동,단독,249.6,221,1~10,"75,000",1988,동남로85길
 서울특별시 강동구 길동,단독,165.42,108.2,1~10,"22,730",1987,천중로38가길
 서울특별시 강동구 길동,단독,248.74,163.2,21~30,"43,500",1989,양재대로110길
 서울특별시 강동구 길동,단독,248.74,163.2,21~30,"28,200",1989,양재대로110길
 서울특별시 강동구 길동,단독,247.38,171,21~30,"42,000",1990,양재대로128길
 서울특별시 강동구 둔촌동,단독,185.76,124,1~10,"29,500",1989,명일로10가길
 서울특별시 강동구 둔촌동,단독,226.04,147,11~20,"33,200",1990,명일로10길
 서울특별시 강동구 둔촌동,단독,249.66,192.1,21~30,"51,100",1988,풍성로65길
 서울특별시 강동구 성내동,다가구,410.71,177.2,11~20,"82,500",1996,양재대로91가길
 서울특별시 강동구 성내동,다가구,375.6,205.8,1~10,"62,000",1993,강동대로51길
 서울특별시 강동구 성내동,단독,153.55,99,21~30,"31,000",1990,풍성로41길
 서울특별시 강동구 성내동,단독,154.95,109,21~30,"33,000",1990,풍성로35길
 서울특별시 강동구 성내동,단독,164.97,112,1~10,"26,000",1986,천호옛10길
 서울특별시 강동구 성내동,단독,175.98,119,11~20,"32,900",1988,
 서울특별시 강동구 성내동,단독,284.6,129,11~20,"52,500",1992,올림픽로54길
 서울특별시 강동구 성내동,단독,212.18,130,11~20,"42,000",1991,풍성로35길
