시군구,주택유형,연면적(m2),대지면적(m2),계약일,거래금액(만원),건축년도,도로명
 서울특별시 강남구 개포동,단독,358.29,182,11~20,"138,000",1990,선릉로10길
 서울특별시 강남구 논현동,다가구,659.86,259.7,1~10,"224,000",1996,학동로38길
 서울특별시 강남구 대치동,다가구,400.44,180.7,11~20,"162,500",1997,역삼로63길
 서울특별시 강남구 대치동,다가구,683.12,240.7,11~20,"219,000",2000,도곡로63길
 서울특별시 강남구 대치동,다가구,532.04,279.5,11~20,"205,000",0,삼성로67길
 서울특별시 강남구 삼성동,단독,277.17,204.3,1~10,"201,000",1989,영동대로118길
 서울특별시 강남구 신사동,다가구,379.44,176.2,11~20,"170,000",1995,
 서울특별시 강남구 신사동,다가구,404.45,204.9,1~10,"200,000",1995,압구정로10길
 서울특별시 강남구 신사동,단독,627.21,307.4,1~10,"248,000",1995,강남대로162길
 서울특별시 강남구 역삼동,다가구,541.57,251.2,1~10,"212,500",2003,테헤란로22길
 서울특별시 강남구 역삼동,단독,326.74,248,1~10,"182,000",1988,봉은사로48길
 서울특별시 강남구 역삼동,단독,628.8,421,11~20,"346,500",2002,테헤란로28길
 서울특별시 강남구 일원동,단독,249.11,197.1,11~20,"119,500",1987,양재대로41길
 서울특별시 강남구 일원동,단독,246.63,197.7,21~31,"105,000",0,개포로136길
 서울특별시 강남구 청담동,다가구,457.5,202.6,21~31,"178,000",1997,도산대로89길
 서울특별시 강남구 청담동,단독,332.82,154,11~20,"135,000",1989,도산대로92길
 서울특별시 강동구 강일동,단독,19.83,196.11,1~10,"60,000",1980,
 서울특별시 강동구 길동,단독,160.71,105.7,1~10,"40,000",1988,양재대로126길
 서울특별시 강동구 길동,단독,181.8,165.4,1~10,"87,500",1983,진황도로47길
 서울특별시 강동구 길동,단독,179.87,200,1~10,"78,000",1983,진황도로47길
 서울특별시 강동구 둔촌동,다가구,398.4,176,11~20,"94,000",0,양재대로98길
 서울특별시 강동구 둔촌동,단독,327.24,243.4,11~20,"106,500",0,양재대로102가길
 서울특별시 강동구 명일동,단독,106.57,175,11~20,"68,800",1977,
 서울특별시 강동구 성내동,다가구,119.96,99,21~31,"44,500",0,천호대로168라길
 서울특별시 강동구 성내동,다가구,545.9,239.8,1~10,"130,000",1984,성안로3길
 서울특별시 강동구 성내동,단독,160.94,86,1~10,"38,000",1994,천호대로162가길
 서울특별시 강동구 성내동,단독,177.48,119,1~10,"47,000",0,천호옛10길
 서울특별시 강동구 성내동,단독,188.39,173.5,1~10,"84,000",1982,천호대로170길
 서울특별시 강동구 성내동,단독,193.13,175.2,1~10,"71,500",0,풍성로53길
 서울특별시 강동구 성내동,단독,419.74,188.4,11~20,"102,000",1996,양재대로87길
 서울특별시 강동구 암사동,다가구,207.9,145,21~31,"60,000",0,암사길
 서울특별시 강동구 암사동,다가구,356.57,168.7,21~31,"81,250",0,고덕로10길
 서울특별시 강동구 암사동,다가구,488.25,222,21~31,"105,500",0,암사18길
 서울특별시 강동구 암사동,단독,188.97,176.9,11~20,"67,700",0,상암로5길
 서울특별시 강동구 암사동,단독,162.98,213.9,11~20,"105,000",1981,상암로4가길
 서울특별시 강동구 암사동,단독,198.2,355,1~10,"140,000",0,아리수로25길
 서울특별시 강동구 천호동,다가구,249.75,172,21~31,"78,000",0,진황도로27다길
 서울특별시 강동구 천호동,단독,86,62.75,21~31,"18,000",1987,
 서울특별시 강동구 천호동,단독,97.76,94.25,21~31,"50,500",1979,양재대로133길
 서울특별시 강동구 천호동,단독,128.1,104,1~10,"45,500",0,상암로4길
 서울특별시 강동구 천호동,단독,160.92,107.3,21~31,"38,200",0,양재대로121길
 서울특별시 강동구 천호동,단독,171.72,118.4,21~31,"51,000",0,천중로35가길
 서울특별시 강동구 천호동,단독,178.83,120,11~20,"71,500",0,올림픽로83길
 서울특별시 강동구 천호동,단독,167.22,131.5,1~10,"60,000",0,상암로4길
 서울특별시 강동구 천호동,단독,224.1,160.6,1~10,"66,000",0,상암로41나길
 서울특별시 강동구 천호동,단독,210.97,192.7,1~10,"116,500",0,올림픽로92길
 서울특별시 강북구 미아동,다가구,104.88,86,11~20,"36,000",0,삼양로38가길
 서울특별시 강북구 미아동,다가구,162.53,93,11~20,"38,300",0,삼양로16길
 서울특별시 강북구 미아동,다가구,179.4,93,1~10,"58,000",1992,오현로6길
 서울특별시 강북구 미아동,다가구,144.54,96,11~20,"37,500",0,삼양로16길
 서울특별시 강북구 미아동,다가구,252.32,280,11~20,"72,666",1978,오현로9다길
 서울특별시 강북구 미아동,단독,26.45,46,1~10,"14,800",1980,삼양로59길
 서울특별시 강북구 미아동,단독,40.7,50,1~10,"9,800",1970,삼양로38길
 서울특별시 강북구 미아동,단독,42.14,56,1~10,"18,200",0,삼양로64길
 서울특별시 강북구 미아동,단독,43.5,57,21~31,"16,000",0,솔매로
 서울특별시 강북구 미아동,단독,127.14,72.1,1~10,"26,200",0,도봉로63길
 서울특별시 강북구 미아동,단독,50.31,74.4,1~10,"23,500",0,도봉로27길
 서울특별시 강북구 미아동,단독,48.07,89,11~20,"30,000",0,삼양로16길
 서울특별시 강북구 미아동,단독,57.53,96,21~31,"21,000",0,삼양로63길
 서울특별시 강북구 미아동,단독,125.96,106.1,11~20,"36,800",1973,
 서울특별시 강북구 미아동,단독,143.5,116.4,11~20,"50,500",1973,도봉로41길
 서울특별시 강북구 미아동,단독,55.6,117,11~20,"45,500",1972,
 서울특별시 강북구 미아동,단독,141.52,132,21~31,"31,000",1997,삼양로59가길
 서울특별시 강북구 미아동,단독,166,136.2,1~10,"60,200",0,도봉로49길
 서울특별시 강북구 미아동,단독,164.86,146.4,1~10,"61,000",0,도봉로51길
 서울특별시 강북구 미아동,단독,147.08,149.1,11~20,"56,000",0,도봉로37길
 서울특별시 강북구 미아동,단독,162.19,155.3,11~20,"51,000",0,도봉로24길
 서울특별시 강북구 번동,다가구,234.58,101.5,1~10,"70,000",0,한천로131길
 서울특별시 강북구 번동,단독,62.82,107.4,21~31,"33,300",0,한천로124가길
 서울특별시 강북구 번동,단독,167.37,136.5,11~20,"59,000",0,한천로123길
 서울특별시 강북구 번동,단독,157.03,186.1,1~10,"76,500",1975,오패산로77가길
 서울특별시 강북구 번동,단독,439.06,234,21~31,"68,000",0,덕릉로42길
 서울특별시 강북구 수유동,다가구,116.05,71.4,11~20,"27,250",0,수유로12가길
 서울특별시 강북구 수유동,다가구,114.55,79,11~20,"25,700",0,노해로32길
 서울특별시 강북구 수유동,다가구,147.06,96.5,11~20,"34,500",0,노해로15길
 서울특별시 강북구 수유동,다가구,175.59,106,1~10,"31,400",0,삼양로111길
 서울특별시 강북구 수유동,다가구,196.44,127,1~10,"41,000",0,노해로32길
 서울특별시 강북구 수유동,다가구,98.34,148.4,21~31,"53,000",0,한천로144길
 서울특별시 강북구 수유동,다가구,232.94,159,21~31,"55,500",0,삼양로100길
 서울특별시 강북구 수유동,다가구,163.41,166,1~10,"53,000",0,삼양로
 서울특별시 강북구 수유동,다가구,263.76,169,1~10,"53,900",0,삼양로122길
 서울특별시 강북구 수유동,단독,64.1,76.7,21~31,"24,590",0,삼양로80가길
 서울특별시 강북구 수유동,단독,43.24,83,1~10,"9,800",1967,삼각산로18길
 서울특별시 강북구 수유동,단독,144.21,96,21~31,"31,150",0,인수봉로70길
 서울특별시 강북구 수유동,단독,93.06,119,11~20,"43,200",1971,수유로12길
 서울특별시 강북구 수유동,단독,163.31,129,11~20,"43,000",0,인수봉로56길
 서울특별시 강북구 수유동,단독,40.73,139,1~10,"44,000",0,노해로22길
 서울특별시 강북구 수유동,단독,113.91,165,1~10,"39,500",1973,인수봉로55길
